case,max_speed,tail_mean_speed,tail_std_speed,tail_min_speed,tail_max_speed
original_4d_delay_noise,1.731400,0.905005,0.340282,0.235647,1.486337
artstein_prediction_noise,0.950215,0.536762,0.021735,0.478504,0.598728
