case,max_distance,tail_mean_distance,tail_std_distance,final_distance
circle_original_delay_clean_20hz,1.626382,0.876141,0.281922,0.486750
circle_artstein_prediction_clean_20hz,1.587227,0.069221,0.000025,0.069205
