time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.9954,-2.8077,0.3494,1.3645,-0.0751,4.1937
1.0946,-2.7721,0.3726,1.3092,-0.0318,4.1014
1.1953,-2.7239,0.4176,1.2597,-0.0097,4.0065
1.2955,-2.6790,0.4330,1.2056,0.0351,3.9049
1.3953,-2.6292,0.4607,1.1561,0.0573,3.8068
1.4959,-2.5820,0.4699,1.1087,0.0791,3.7113
1.5961,-2.5326,0.4862,1.0681,0.1478,3.6165
1.6973,-2.4878,0.4884,1.0158,0.1671,3.5183
1.7993,-2.4371,0.4900,0.9614,0.2059,3.4103
1.8975,-2.3878,0.4861,0.9051,0.2232,3.3034
1.9989,-2.3424,0.4746,0.8465,0.2581,3.1962
2.0990,-2.2886,0.4649,0.7908,0.2716,3.0854
2.2008,-2.2462,0.4407,0.7336,0.2994,2.9832
2.3012,-2.2042,0.4262,0.6729,0.3103,2.8794
2.4019,-2.1665,0.3905,0.6101,0.3302,2.7773
2.5008,-2.1303,0.3473,0.5509,0.3368,2.6813
2.6015,-2.1007,0.3215,0.4804,0.3443,2.5812
2.7022,-2.0720,0.2671,0.4101,0.3438,2.4833
2.8032,-2.0439,0.2363,0.3471,0.3370,2.3931
2.9033,-2.0256,0.1772,0.2810,0.3309,2.3117
3.0036,-2.0115,0.1457,0.2236,0.3152,2.2415
3.1055,-2.0014,0.0814,0.1697,0.3047,2.1825
3.2052,-1.9833,0.0199,0.1065,0.2504,2.1025
3.3035,-1.9817,-0.0455,0.0567,0.2364,2.0579
3.4050,-1.9904,-0.0785,0.0002,0.2062,2.0108
3.5041,-1.9970,-0.1420,-0.0503,0.1895,1.9747
3.6043,-2.0146,-0.1735,-0.1057,0.1537,1.9367
3.7032,-2.0323,-0.2360,-0.1562,0.1363,1.9127
3.8050,-2.0557,-0.2667,-0.2069,0.0981,1.8845
3.9054,-2.0817,-0.3255,-0.2526,0.0787,1.8733
4.0059,-2.1145,-0.3535,-0.3066,0.0378,1.8498
4.1049,-2.1496,-0.4022,-0.3532,0.0176,1.8448
4.2060,-2.1863,-0.4244,-0.3978,-0.0264,1.8322
4.3053,-2.2285,-0.4621,-0.4522,-0.0486,1.8238
4.4063,-2.2757,-0.4784,-0.4990,-0.0933,1.8180
4.5073,-2.3196,-0.5054,-0.5403,-0.1162,1.8214
4.6078,-2.3676,-0.5160,-0.5917,-0.1603,1.8112
4.7076,-2.4193,-0.5300,-0.6428,-0.1827,1.8101
4.8085,-2.4688,-0.5328,-0.7119,-0.2337,1.7821
4.9086,-2.5187,-0.5350,-0.7619,-0.2531,1.7793
5.0084,-2.5673,-0.5308,-0.8158,-0.2914,1.7677
5.1084,-2.6192,-0.5236,-0.8769,-0.3072,1.7556
5.2114,-2.6588,-0.4992,-0.9180,-0.3223,1.7498
5.3135,-2.7031,-0.4866,-0.9868,-0.3481,1.7219
5.4129,-2.7492,-0.4556,-1.0409,-0.3593,1.7111
5.5142,-2.7916,-0.4375,-1.1130,-0.3791,1.6796
5.6134,-2.8289,-0.3969,-1.1700,-0.3844,1.6589
5.7141,-2.8648,-0.3724,-1.2445,-0.3931,1.6204
5.8149,-2.8948,-0.3226,-1.3128,-0.3951,1.5837
5.9159,-2.9226,-0.2936,-1.3835,-0.3936,1.5424
6.0159,-2.9434,-0.2355,-1.4472,-0.3898,1.5041
6.1159,-2.9614,-0.2039,-1.5091,-0.3759,1.4624
6.2167,-2.9726,-0.1410,-1.5655,-0.3638,1.4247
6.3163,-2.9846,-0.1070,-1.6214,-0.3379,1.3826
6.4172,-2.9842,-0.0413,-1.6870,-0.2713,1.3174
6.5161,-2.9819,-0.0076,-1.7354,-0.2332,1.2668
6.6162,-2.9726,0.0576,-1.7832,-0.2117,1.2195
6.7164,-2.9610,0.0902,-1.8252,-0.1588,1.1628
6.8174,-2.9420,0.1546,-1.8607,-0.1247,1.1167
6.9168,-2.9207,0.1846,-1.8706,-0.0491,1.0757
7.0176,-2.8945,0.2446,-1.8773,-0.0098,1.0486
7.1170,-2.8656,0.2720,-1.8610,0.0710,1.0245
7.2175,-2.8283,0.3247,-1.8486,0.1511,0.9950
7.3175,-2.8029,0.3486,-1.8242,0.1931,0.9910
7.4179,-2.7630,0.3912,-1.7920,0.2734,0.9781
7.5183,-2.7155,0.4092,-1.7558,0.3115,0.9646
7.6207,-2.6704,0.4391,-1.7070,0.3781,0.9653
7.7182,-2.6220,0.4512,-1.6617,0.4026,0.9615
7.8184,-2.5744,0.4692,-1.6041,0.4441,0.9706
7.9196,-2.5240,0.4733,-1.5461,0.4582,0.9780
8.0196,-2.4745,0.4784,-1.4829,0.4780,0.9915
8.1189,-2.4231,0.4767,-1.4205,0.4710,1.0025
8.2194,-2.3751,0.4686,-1.3700,0.4739,1.0050
8.3217,-2.3258,0.4595,-1.3228,0.4727,1.0031
8.4207,-2.2777,0.4389,-1.2822,0.4664,0.9959
8.5228,-2.2376,0.4225,-1.2326,0.4584,1.0056
8.6225,-2.1954,0.3893,-1.1788,0.4396,1.0179
8.7240,-2.1567,0.3692,-1.1436,0.4211,1.0145
8.8241,-2.1224,0.3258,-1.1274,0.3798,0.9965
8.9248,-2.0917,0.3000,-1.0897,0.3552,1.0036
9.0239,-2.0581,0.2719,-1.0519,0.3063,1.0067
9.1258,-2.0364,0.2159,-1.0233,0.2813,1.0152
9.2247,-2.0204,0.1863,-1.0044,0.2389,1.0174
9.3265,-2.0060,0.0819,-0.9917,0.2088,1.0222
9.4259,-1.9892,0.0500,-0.9881,0.1375,1.0050
9.5244,-1.9922,-0.0143,-0.9773,0.0985,1.0211
9.6256,-1.9896,-0.0466,-0.9569,0.0167,1.0346
9.7260,-1.9986,-0.1121,-0.9607,-0.0218,1.0418
9.8267,-2.0043,-0.1458,-0.9807,-0.0886,1.0252
9.9255,-2.0214,-0.2090,-1.0119,-0.1258,1.0129
10.0260,-2.0400,-0.2407,-1.0262,-0.1933,1.0149
10.1280,-2.0665,-0.3032,-1.0379,-0.2573,1.0296
10.2286,-2.0939,-0.3310,-1.0795,-0.3127,1.0145
10.3275,-2.1279,-0.3849,-1.1214,-0.3316,1.0079
10.4273,-2.1650,-0.4099,-1.1513,-0.3600,1.0150
