time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.0000,-3.4662,-0.8572,2.3563,-0.4957,5.8337
0.0998,-3.5127,-0.8473,2.3072,-0.5398,5.8280
0.2008,-3.5614,-0.8381,2.2543,-0.5603,5.8224
0.3001,-3.6051,-0.8141,2.2007,-0.6278,5.8088
0.4003,-3.6489,-0.7985,2.1451,-0.6418,5.7961
0.4999,-3.6863,-0.7620,2.0797,-0.6655,5.7667
0.6009,-3.7226,-0.7400,2.0132,-0.6730,5.7362
0.7005,-3.7566,-0.6919,1.9464,-0.6832,5.7031
0.8003,-3.7902,-0.6659,1.8808,-0.6845,5.6710
0.9008,-3.8135,-0.6110,1.8071,-0.6845,5.6211
1.0009,-3.8368,-0.5814,1.7413,-0.6799,5.5789
1.1030,-3.8488,-0.5208,1.6875,-0.6395,5.5376
1.2012,-3.8584,-0.4882,1.6251,-0.6318,5.4853
1.3026,-3.8619,-0.4226,1.5646,-0.6169,5.4300
1.4031,-3.8615,-0.3907,1.5065,-0.6073,5.3724
1.5039,-3.8442,-0.2525,1.4515,-0.5839,5.3061
1.6031,-3.8359,-0.2211,1.3939,-0.5666,5.2412
1.7032,-3.8185,-0.1561,1.3412,-0.5295,5.1733
1.8031,-3.7997,-0.1258,1.2897,-0.5116,5.1041
1.9030,-3.7738,-0.0647,1.2384,-0.4677,5.0284
2.0057,-3.7441,-0.0359,1.1843,-0.4479,4.9456
2.1048,-3.7115,0.0189,1.1344,-0.4044,4.8643
2.2061,-3.6730,0.0421,1.0852,-0.3830,4.7772
2.3071,-3.6344,0.0886,1.0352,-0.3385,4.6890
2.4063,-3.5939,0.1057,0.9824,-0.3146,4.5956
2.5057,-3.5479,0.1385,0.9339,-0.2695,4.5004
2.6076,-3.5014,0.1496,0.8825,-0.2486,4.4019
2.7065,-3.4530,0.1683,0.8399,-0.1837,4.3073
2.8077,-3.4058,0.1747,0.7913,-0.1635,4.2107
2.9067,-3.3536,0.1813,0.7366,-0.1244,4.1015
3.0081,-3.3047,0.1816,0.6844,-0.1052,3.9994
3.1077,-3.2536,0.1759,0.6283,-0.0690,3.8896
3.2079,-3.2045,0.1676,0.5726,-0.0528,3.7835
3.3085,-3.1580,0.1495,0.5169,-0.0234,3.6790
3.4083,-3.1147,0.1353,0.4558,-0.0109,3.5736
3.5100,-3.0613,0.0448,0.3949,0.0087,3.4564
3.6095,-3.0228,0.0251,0.3306,0.0044,3.3535
3.7085,-2.9845,0.0030,0.2640,0.0117,3.2485
3.8087,-2.9529,-0.0440,0.1915,0.0120,3.1449
3.9090,-2.9270,-0.0708,0.1261,0.0079,3.0541
4.0091,-2.9035,-0.1249,0.0615,0.0022,2.9677
4.1108,-2.8797,-0.1539,-0.0040,-0.0043,2.8795
4.2104,-2.8671,-0.2178,-0.0656,-0.0201,2.8085
4.3102,-2.8547,-0.2500,-0.1177,-0.0316,2.7457
4.4115,-2.8489,-0.3141,-0.1779,-0.0740,2.6818
4.5113,-2.8414,-0.3468,-0.2330,-0.0879,2.6212
4.6122,-2.8480,-0.4113,-0.2928,-0.1145,2.5724
4.7125,-2.8584,-0.4433,-0.3467,-0.1304,2.5312
4.8110,-2.8688,-0.5107,-0.3954,-0.1626,2.4978
4.9137,-2.8894,-0.5425,-0.4459,-0.1822,2.4699
5.0114,-2.9105,-0.6040,-0.4931,-0.2186,2.4479
5.1128,-2.9378,-0.6333,-0.5489,-0.2390,2.4213
5.2119,-2.9720,-0.6887,-0.5974,-0.2808,2.4094
5.3132,-3.0025,-0.7132,-0.6437,-0.3024,2.3944
5.4118,-3.0425,-0.7598,-0.6938,-0.3463,2.3848
5.5139,-3.0804,-0.7803,-0.7407,-0.3692,2.3755
5.6141,-3.1445,-0.8272,-0.7906,-0.4137,2.3900
5.7151,-3.1887,-0.8433,-0.8388,-0.4367,2.3848
5.8158,-3.2360,-0.8693,-0.8837,-0.4824,2.3839
5.9139,-3.2882,-0.8771,-0.9379,-0.5036,2.3798
6.0164,-3.3375,-0.8882,-1.0042,-0.5580,2.3566
6.1156,-3.3859,-0.8905,-1.0530,-0.5773,2.3538
6.2148,-3.4393,-0.8900,-1.1062,-0.6175,2.3489
6.3151,-3.4895,-0.8850,-1.1597,-0.6350,2.3432
6.4155,-3.5348,-0.8712,-1.2172,-0.6689,2.3264
6.5153,-3.5819,-0.8598,-1.2725,-0.6835,2.3161
6.6167,-3.6261,-0.8320,-1.3294,-0.7123,2.2998
6.7183,-3.6674,-0.8130,-1.3907,-0.7223,2.2785
6.8187,-3.7069,-0.7737,-1.4525,-0.7411,2.2547
6.9193,-3.7389,-0.7521,-1.5184,-0.7468,2.2205
7.0196,-3.7715,-0.7033,-1.5880,-0.7539,2.1841
7.1190,-3.7999,-0.6746,-1.6526,-0.7521,2.1486
7.2188,-3.8225,-0.6178,-1.7176,-0.7489,2.1089
7.3189,-3.8428,-0.5894,-1.7831,-0.7425,2.0653
7.4215,-3.8555,-0.5268,-1.8429,-0.7259,2.0225
7.5197,-3.8646,-0.4949,-1.9039,-0.7160,1.9731
7.6221,-3.8576,-0.3504,-1.9832,-0.6428,1.8971
7.7210,-3.8555,-0.3181,-2.0399,-0.6277,1.8419
7.8196,-3.8495,-0.2521,-2.0924,-0.5953,1.7904
7.9212,-3.8391,-0.2192,-2.1490,-0.5765,1.7275
8.0195,-3.8221,-0.1535,-2.2008,-0.5383,1.6663
8.1225,-3.8019,-0.1211,-2.2515,-0.5169,1.6001
8.2208,-3.7797,-0.0922,-2.3008,-0.4745,1.5276
8.3232,-3.7465,-0.0335,-2.3507,-0.4496,1.4565
8.4223,-3.7151,-0.0078,-2.3915,-0.4228,1.3871
8.5219,-3.6750,0.0669,-2.4253,-0.3605,1.3208
8.6226,-3.6270,0.0347,-2.4555,-0.3248,1.2255
8.7234,-3.5833,0.0752,-2.4637,-0.2449,1.1644
8.8246,-3.5392,0.1068,-2.4695,-0.2057,1.1144
8.9221,-3.4902,0.1190,-2.4526,-0.1265,1.0663
9.0234,-3.4411,0.1375,-2.4327,-0.0854,1.0327
9.1231,-3.3926,0.1498,-2.4027,-0.0050,1.0019
9.2237,-3.3413,0.1516,-2.3729,0.0360,0.9753
9.3243,-3.2906,0.1490,-2.3247,0.1565,0.9659
9.4241,-3.2413,0.1441,-2.2839,0.1854,0.9583
9.5240,-3.1935,0.1294,-2.2070,0.2355,0.9922
9.6236,-3.1454,0.1174,-2.1464,0.2389,1.0063
9.7240,-3.1020,0.0904,-2.1011,0.2338,1.0111
9.8241,-3.0615,0.0721,-2.0783,0.2103,0.9928
9.9245,-3.0192,0.0526,-2.0431,0.1553,0.9815
10.0245,-2.9840,0.0092,-2.0083,0.1183,0.9818
10.1248,-2.9524,-0.0405,-1.9669,0.0462,0.9893
10.2253,-2.9250,-0.0684,-1.9295,0.0099,0.9985
10.3256,-2.8997,-0.1266,-1.8891,-0.0627,1.0126
10.4248,-2.8810,-0.1571,-1.8740,-0.0971,1.0088
10.5278,-2.8669,-0.1879,-1.8662,-0.2981,1.0068
10.6284,-2.8563,-0.3118,-1.8529,-0.3231,1.0035
10.7258,-2.8492,-0.3448,-1.8465,-0.3359,1.0027
10.8257,-2.8473,-0.4110,-1.8412,-0.3422,1.0085
10.9268,-2.8577,-0.4427,-1.8402,-0.3547,1.0213
11.0259,-2.8613,-0.5085,-1.8533,-0.3878,1.0152
11.1258,-2.8766,-0.5420,-1.8781,-0.4205,1.0058
11.2267,-2.8932,-0.6052,-1.8930,-0.4943,1.0063
11.3272,-2.9187,-0.6353,-1.9055,-0.5336,1.0183
11.4265,-2.9462,-0.6941,-1.9275,-0.6133,1.0219
11.5267,-2.9763,-0.7210,-1.9601,-0.6497,1.0187
11.6276,-3.0112,-0.7684,-2.0051,-0.7207,1.0072
11.7291,-3.0698,-0.7709,-2.0450,-0.7213,1.0260
11.8277,-3.1096,-0.8100,-2.0870,-0.7752,1.0231
11.9283,-3.1535,-0.8263,-2.1430,-0.7942,1.0110
12.0275,-3.2003,-0.8548,-2.1975,-0.8272,1.0031
12.1274,-3.2468,-0.8653,-2.2419,-0.8389,1.0052
12.2287,-3.2971,-0.8807,-2.2866,-0.8642,1.0106
12.3280,-3.3481,-0.8847,-2.3417,-0.8724,1.0065
12.4277,-3.3987,-0.8898,-2.3960,-0.8788,1.0027
12.5280,-3.4474,-0.8871,-2.4499,-0.8909,0.9975
12.6286,-3.4951,-0.8763,-2.5030,-0.8994,0.9923
12.7289,-3.5464,-0.8666,-2.5587,-0.8765,0.9877
12.8303,-3.5885,-0.8442,-2.5980,-0.8710,0.9908
12.9352,-3.6337,-0.8286,-2.6369,-0.8580,0.9972
13.0360,-3.6721,-0.7908,-2.6733,-0.8375,0.9999
13.1338,-3.7105,-0.7684,-2.7155,-0.8224,0.9965
13.2310,-3.7440,-0.7224,-2.7526,-0.7850,0.9934
13.3323,-3.7757,-0.6957,-2.7855,-0.7599,0.9923
13.4310,-3.8018,-0.6423,-2.8085,-0.7077,0.9955
13.5308,-3.8249,-0.6126,-2.8324,-0.6801,0.9947
13.6340,-3.8415,-0.5540,-2.8489,-0.6222,0.9950
13.7349,-3.8463,-0.4625,-2.8622,-0.5922,0.9925
13.8340,-3.8532,-0.3975,-2.8660,-0.5228,0.9951
13.9350,-3.8556,-0.3630,-2.8565,-0.4633,1.0041
14.0352,-3.8532,-0.2984,-2.8615,-0.3841,0.9954
