time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.0000,-2.0446,-0.0816,1.6601,0.2294,3.7178
0.0025,-2.0446,-0.0816,1.5967,0.2448,3.6559
0.0034,-2.0446,-0.0816,1.5358,0.2488,3.5956
0.0040,-2.0446,-0.0816,1.4647,0.2596,3.5259
0.0048,-2.0446,-0.0816,1.3976,0.2599,3.4591
0.0053,-2.0446,-0.0816,1.3281,0.2591,3.3899
0.0056,-2.0446,-0.0816,1.2681,0.2546,3.3297
0.0060,-2.0446,-0.0816,1.2015,0.2443,3.2625
0.0063,-2.0446,-0.0816,1.1417,0.2361,3.2021
0.0069,-2.0446,-0.0816,1.0826,0.2147,3.1413
0.0072,-2.0446,-0.0816,1.0225,0.2040,3.0804
0.1053,-2.0446,-0.0816,0.9642,0.1765,3.0199
0.2053,-2.0492,-0.1472,0.9131,0.1622,2.9785
0.3070,-2.0540,-0.1789,0.8667,0.1110,2.9351
0.4064,-2.0627,-0.2444,0.8097,0.0938,2.8922
0.5059,-2.0805,-0.2757,0.7614,0.0598,2.8617
0.6098,-2.1043,-0.3792,0.7094,0.0413,2.8450
0.7072,-2.1294,-0.4100,0.6622,0.0032,2.8220
0.8073,-2.1561,-0.4663,0.6145,-0.0177,2.8067
0.9068,-2.1891,-0.4938,0.5661,-0.0624,2.7887
1.0097,-2.2267,-0.5420,0.5221,-0.0854,2.7865
1.1107,-2.2690,-0.5631,0.4705,-0.1314,2.7733
1.2096,-2.3156,-0.5997,0.4258,-0.1543,2.7774
1.3100,-2.3549,-0.6145,0.3747,-0.2009,2.7608
1.4109,-2.4052,-0.6393,0.3288,-0.2233,2.7655
1.5119,-2.4550,-0.6486,0.2812,-0.2696,2.7624
1.6164,-2.5009,-0.6281,0.2335,-0.2915,2.7550
1.7131,-2.5570,-0.6358,0.1805,-0.3336,2.7541
1.8135,-2.5976,-0.6347,0.1281,-0.3522,2.7403
1.9150,-2.6531,-0.6281,0.0459,-0.3974,2.7088
2.0134,-2.6944,-0.6219,-0.0097,-0.4127,2.6928
2.1181,-2.7485,-0.6032,-0.0654,-0.4379,2.6882
2.2149,-2.7902,-0.5895,-0.1204,-0.4509,2.6734
2.3158,-2.8346,-0.5583,-0.1905,-0.4705,2.6455
2.4144,-2.8739,-0.5390,-0.2459,-0.4785,2.6287
2.5159,-2.9100,-0.4964,-0.3198,-0.4909,2.5902
2.6156,-2.9364,-0.4720,-0.3846,-0.4944,2.5520
2.7149,-2.9663,-0.4187,-0.4585,-0.4985,2.5091
2.8164,-2.9872,-0.3895,-0.5260,-0.4958,2.4635
2.9168,-3.0032,-0.3294,-0.5919,-0.4884,2.4165
3.0179,-3.0230,-0.2987,-0.6484,-0.4807,2.3816
3.1185,-3.0335,-0.2356,-0.7094,-0.4631,2.3352
3.2189,-3.0341,-0.2017,-0.7708,-0.4510,2.2770
3.3176,-3.0346,-0.1373,-0.8255,-0.4238,2.2276
3.4180,-3.0317,-0.1045,-0.8654,-0.3600,2.1813
3.5172,-3.0172,-0.0389,-0.9286,-0.3303,2.1088
3.6214,-2.9982,0.0316,-0.9814,-0.3148,2.0463
3.7185,-2.9809,0.0943,-1.0356,-0.2817,1.9813
3.8214,-2.9527,0.1266,-1.0864,-0.2633,1.9066
3.9183,-2.9273,0.1846,-1.1368,-0.2230,1.8364
4.0205,-2.8985,0.2104,-1.1808,-0.2023,1.7666
4.1203,-2.8572,0.2627,-1.2339,-0.1594,1.6773
4.2217,-2.8189,0.2836,-1.2839,-0.1362,1.5914
4.3253,-2.7763,0.3263,-1.3383,-0.0750,1.4930
4.4225,-2.7271,0.3408,-1.3826,-0.0445,1.3986
4.5207,-2.6791,0.3702,-1.4144,0.0221,1.3118
4.6215,-2.6357,0.3791,-1.4397,0.0606,1.2377
4.7213,-2.5831,0.3965,-1.4463,0.1412,1.1652
4.8218,-2.5327,0.3999,-1.4403,0.1813,1.1140
4.9221,-2.4825,0.4016,-1.4329,0.2608,1.0590
5.0226,-2.4315,0.3979,-1.4099,0.3003,1.0262
5.1215,-2.3838,0.3864,-1.3847,0.3799,0.9991
5.2256,-2.3385,0.3761,-1.3363,0.4108,1.0028
5.3240,-2.2930,0.3521,-1.2760,0.4633,1.0231
5.4226,-2.2518,0.3367,-1.2392,0.4710,1.0215
5.5245,-2.2170,0.2689,-1.2125,0.4723,1.0249
5.6226,-2.1816,0.2302,-1.1878,0.4524,1.0183
5.7255,-2.1460,0.2061,-1.1728,0.4275,0.9981
5.8220,-2.1113,0.1557,-1.1368,0.3617,0.9961
5.9236,-2.0943,0.1269,-1.1218,0.3222,0.9920
6.0247,-2.0702,0.0688,-1.0840,0.2419,1.0013
6.1258,-2.0519,0.0377,-1.0641,0.1621,0.9955
6.2259,-2.0370,-0.0269,-1.0480,0.0811,0.9948
6.3270,-2.0293,-0.0584,-1.0315,0.0810,1.0076
6.4266,-2.0329,-0.1539,-1.0202,0.0000,1.0244
6.5268,-2.0336,-0.1868,-1.0176,-0.0812,1.0215
6.6263,-2.0449,-0.2533,-1.0308,-0.1603,1.0184
6.7267,-2.0569,-0.2847,-1.0452,-0.1999,1.0153
6.8260,-2.0749,-0.3161,-1.0654,-0.2778,1.0102
6.9271,-2.1001,-0.3789,-1.0905,-0.3126,1.0117
7.0269,-2.1242,-0.4078,-1.1168,-0.3763,1.0080
7.1284,-2.1586,-0.4631,-1.1455,-0.4042,1.0148
7.2277,-2.1930,-0.5113,-1.1806,-0.4505,1.0142
7.3273,-2.2310,-0.5333,-1.2201,-0.4780,1.0124
7.4284,-2.2730,-0.5726,-1.2663,-0.5268,1.0078
7.5298,-2.3177,-0.5783,-1.3120,-0.5501,1.0062
7.6293,-2.3618,-0.5934,-1.3536,-0.5659,1.0086
7.7312,-2.4113,-0.6180,-1.4071,-0.5939,1.0045
7.8284,-2.4588,-0.6256,-1.4569,-0.6051,1.0021
7.9298,-2.5090,-0.6377,-1.5097,-0.6243,0.9995
8.0284,-2.5537,-0.6388,-1.5565,-0.6299,0.9973
8.1296,-2.6065,-0.6368,-1.6072,-0.6388,0.9994
8.2301,-2.6566,-0.6308,-1.6576,-0.6799,1.0001
8.3301,-2.7028,-0.6142,-1.7086,-0.6706,0.9959
8.4300,-2.7437,-0.5993,-1.7540,-0.6509,0.9910
8.5304,-2.7920,-0.5704,-1.7946,-0.6063,0.9981
8.6295,-2.8317,-0.5513,-1.8247,-0.5854,1.0075
8.7310,-2.8720,-0.5116,-1.8732,-0.5455,0.9994
8.8305,-2.9048,-0.4871,-1.9079,-0.5266,0.9977
8.9312,-2.9357,-0.4347,-1.9426,-0.4895,0.9946
9.0305,-2.9606,-0.4061,-1.9683,-0.4691,0.9943
9.1317,-2.9843,-0.3476,-1.9901,-0.4232,0.9970
9.2329,-3.0005,-0.3169,-2.0083,-0.3944,0.9952
9.3336,-3.0142,-0.2543,-2.0205,-0.3341,0.9969
9.4342,-3.0331,-0.2016,-2.0260,-0.3018,1.0121
9.5334,-3.0355,-0.1358,-2.0401,-0.2296,0.9998
9.6330,-3.0334,-0.1029,-2.0457,-0.1893,0.9914
9.7333,-3.0264,-0.0369,-2.0340,-0.1095,0.9951
9.8323,-3.0127,-0.0039,-2.0209,-0.0727,0.9942
9.9336,-3.0009,0.0269,-2.0086,-0.0045,0.9928
10.0346,-2.9755,0.0896,-1.9840,0.0275,0.9935
10.1354,-2.9510,0.1181,-1.9758,0.1229,0.9752
10.2350,-2.9217,0.1753,-1.9363,0.1444,0.9859
10.3348,-2.8920,0.2027,-1.8882,0.1759,1.0042
10.4382,-2.8523,0.2512,-1.8608,0.1896,0.9934
10.5373,-2.8121,0.2718,-1.8419,0.2126,0.9721
10.6384,-2.7670,0.3105,-1.8018,0.2277,0.9688
10.7375,-2.7208,0.3260,-1.7418,0.2626,0.9811
10.8388,-2.6746,0.3509,-1.6987,0.2847,0.9782
10.9374,-2.6264,0.3595,-1.6437,0.3298,0.9832
11.0375,-2.5765,0.3744,-1.5973,0.3485,0.9796
11.1389,-2.5260,0.3764,-1.5326,0.3752,0.9934
11.2378,-2.4751,0.3757,-1.4720,0.3846,1.0032
11.3390,-2.4288,0.3714,-1.4225,0.3923,1.0065
11.4402,-2.3770,0.3478,-1.3821,0.3857,0.9956
11.5396,-2.3299,0.3371,-1.3375,0.3618,0.9927
11.6392,-2.2883,0.3104,-1.2803,0.3452,1.0087
11.7394,-2.2460,0.2940,-1.2319,0.3237,1.0145
11.8395,-2.2101,0.2556,-1.2066,0.2889,1.0041
11.9417,-2.1734,0.2330,-1.1759,0.2727,0.9982
12.0404,-2.1451,0.1924,-1.1273,0.1893,1.0178
12.1386,-2.1133,0.1397,-1.0994,0.1776,1.0146
12.2396,-2.0912,0.1107,-1.0816,0.1600,1.0108
12.3401,-2.0679,0.0800,-1.0572,0.1462,1.0128
12.4412,-2.0557,0.0174,-1.0487,0.1121,1.0114
12.5418,-2.0447,-0.0148,-1.0387,0.0849,1.0109
12.6412,-2.0381,-0.0801,-1.0335,0.0193,1.0095
12.7415,-2.0370,-0.1127,-1.0270,-0.0198,1.0143
12.8414,-2.0424,-0.1781,-1.0338,-0.0996,1.0116
12.9418,-2.0527,-0.2107,-1.0469,-0.1349,1.0086
13.0424,-2.0680,-0.2737,-1.0614,-0.2069,1.0089
13.1426,-2.0805,-0.3053,-1.0772,-0.2393,1.0055
13.2420,-2.1070,-0.3685,-1.0978,-0.3028,1.0113
13.3416,-2.1385,-0.3962,-1.1190,-0.3308,1.0217
13.4455,-2.1675,-0.4821,-1.1522,-0.3871,1.0198
13.5432,-2.1997,-0.5080,-1.1959,-0.4205,1.0077
13.6441,-2.2383,-0.5528,-1.2297,-0.4881,1.0106
13.7435,-2.2826,-0.5714,-1.2661,-0.5200,1.0178
13.8450,-2.3286,-0.6064,-1.3080,-0.5770,1.0211
13.9443,-2.3715,-0.6205,-1.3596,-0.5981,1.0121
14.0447,-2.4236,-0.6436,-1.4222,-0.6259,1.0016
14.1444,-2.4712,-0.6513,-1.4714,-0.6229,1.0002
14.2458,-2.5230,-0.6628,-1.5162,-0.6333,1.0072
14.3463,-2.5691,-0.6625,-1.5687,-0.6497,1.0005
14.4474,-2.6210,-0.6593,-1.6241,-0.6550,0.9969
14.5471,-2.6675,-0.6530,-1.6663,-0.6670,1.0013
14.6473,-2.7163,-0.6370,-1.7167,-0.6656,1.0000
14.7477,-2.7617,-0.6245,-1.7639,-0.6610,0.9985
14.8484,-2.8040,-0.5965,-1.8098,-0.6460,0.9954
14.9498,-2.8444,-0.5765,-1.8472,-0.6147,0.9979
15.0507,-2.8832,-0.5362,-1.8871,-0.5949,0.9979
15.1502,-2.9165,-0.5117,-1.9189,-0.5524,0.9984
15.2522,-2.9477,-0.4619,-1.9538,-0.5299,0.9962
15.3518,-2.9714,-0.4333,-1.9726,-0.4848,1.0001
15.4531,-2.9916,-0.3096,-1.9961,-0.4305,1.0028
15.5519,-3.0083,-0.2778,-2.0080,-0.3927,1.0069
15.6524,-3.0217,-0.2151,-2.0188,-0.3160,1.0080
15.7524,-3.0285,-0.1830,-2.0329,-0.2757,0.9999
15.8528,-3.0293,-0.1175,-2.0448,-0.1963,0.9876
15.9566,-3.0256,-0.0848,-2.0384,-0.1578,0.9899
16.0544,-3.0207,-0.0530,-2.0269,-0.0825,0.9943
16.1535,-3.0059,0.0127,-2.0105,-0.0192,0.9960
16.2523,-2.9910,0.0446,-1.9988,0.0034,0.9930
16.3539,-2.9666,0.1062,-1.9805,0.0402,0.9883
16.4532,-2.9421,0.1372,-1.9538,0.0619,0.9911
16.5533,-2.9097,0.1941,-1.9160,0.1049,0.9977
16.6535,-2.8760,0.2203,-1.8860,0.1346,0.9937
16.7552,-2.8365,0.2701,-1.8504,0.1945,0.9890
16.8543,-2.7956,0.2897,-1.8072,0.2256,0.9905
16.9563,-2.7534,0.3298,-1.7596,0.2862,0.9947
17.0565,-2.7091,0.3436,-1.7090,0.3100,1.0006
17.1570,-2.6580,0.3689,-1.6640,0.3560,0.9941
17.2557,-2.6105,0.3786,-1.6203,0.3697,0.9902
17.3581,-2.5641,0.3915,-1.5686,0.3905,0.9955
17.4562,-2.5071,0.3936,-1.5114,0.3919,0.9957
17.5608,-2.4619,0.3733,-1.4671,0.3904,0.9950
17.6589,-2.4120,0.3684,-1.4153,0.3827,0.9968
17.7594,-2.3688,0.3510,-1.3580,0.3648,1.0109
17.8601,-2.3219,0.3387,-1.3157,0.3547,1.0063
17.9611,-2.2779,0.3103,-1.2747,0.3355,1.0036
18.0607,-2.2410,0.2912,-1.2280,0.2844,1.0130
18.1615,-2.2051,0.2524,-1.1847,0.2682,1.0205
18.2614,-2.1671,0.2280,-1.1605,0.2617,1.0071
18.3598,-2.1434,0.1767,-1.1451,0.2494,1.0010
18.4611,-2.1146,0.1474,-1.1156,0.2354,1.0029
18.5611,-2.0993,0.0890,-1.0820,0.1964,1.0230
18.6617,-2.0754,0.0569,-1.0595,0.1616,1.0213
18.7607,-2.0678,-0.0061,-1.0497,0.0864,1.0223
18.8621,-2.0624,-0.0386,-1.0444,0.0456,1.0215
18.9636,-2.0606,-0.1037,-1.0459,-0.0341,1.0171
19.0626,-2.0604,-0.1355,-1.0560,-0.0685,1.0067
19.1641,-2.0689,-0.2009,-1.0680,-0.1385,1.0028
19.2647,-2.0810,-0.2331,-1.0779,-0.1682,1.0051
19.3648,-2.1010,-0.2970,-1.0828,-0.2267,1.0206
19.4656,-2.1233,-0.3284,-1.1078,-0.2550,1.0182
19.5661,-2.1496,-0.4274,-1.1410,-0.3142,1.0149
19.6688,-2.1792,-0.4555,-1.1661,-0.3515,1.0185
19.7663,-2.2145,-0.5067,-1.1958,-0.4234,1.0220
19.8682,-2.2571,-0.5294,-1.2398,-0.4593,1.0197
19.9691,-2.2880,-0.5495,-1.2694,-0.4910,1.0203
20.0691,-2.3370,-0.5873,-1.3242,-0.5557,1.0133
20.1701,-2.3787,-0.6033,-1.3798,-0.6207,0.9991
20.2716,-2.4340,-0.6299,-1.4274,-0.6557,1.0069
20.3709,-2.4707,-0.6380,-1.4704,-0.6632,1.0006
20.4738,-2.5318,-0.6535,-1.5349,-0.6632,0.9970
20.5726,-2.5715,-0.6560,-1.5822,-0.6551,0.9893
20.6738,-2.6278,-0.6568,-1.6232,-0.6384,1.0048
20.7738,-2.6723,-0.6523,-1.6664,-0.6337,1.0061
20.8763,-2.7311,-0.6388,-1.7181,-0.6250,1.0130
20.9752,-2.7655,-0.6281,-1.7717,-0.6251,0.9938
21.0771,-2.8173,-0.5866,-1.8286,-0.6263,0.9895
21.1765,-2.8594,-0.5675,-1.8696,-0.6218,0.9913
21.2765,-2.8993,-0.5466,-1.9030,-0.5910,0.9974
21.3770,-2.9289,-0.5234,-1.9349,-0.5663,0.9950
21.4787,-2.9647,-0.4751,-1.9694,-0.5420,0.9975
21.5790,-2.9922,-0.3729,-2.0010,-0.4937,0.9985
21.6804,-3.0120,-0.3430,-2.0211,-0.4578,0.9976
21.7798,-3.0297,-0.3126,-2.0301,-0.3839,1.0021
21.8792,-3.0367,-0.2398,-2.0448,-0.3467,0.9976
21.9796,-3.0506,-0.1757,-2.0622,-0.2713,0.9930
22.0815,-3.0556,-0.1441,-2.0606,-0.2317,0.9988
22.1818,-3.0553,-0.0779,-2.0362,-0.0722,1.0191
