time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.0000,-3.2209,-0.5069,2.5624,-0.3480,5.7855
0.0975,-3.2209,-0.5069,2.5015,-0.3589,5.7243
0.1976,-3.2209,-0.5069,2.4384,-0.3784,5.6608
0.2966,-3.2209,-0.5069,2.3741,-0.3833,5.5964
0.3981,-3.2209,-0.5069,2.3045,-0.3853,5.5268
0.4979,-3.2209,-0.5069,2.2389,-0.3799,5.4613
0.5977,-3.2209,-0.5069,2.1775,-0.3669,5.4003
0.6979,-3.1687,-0.1471,2.1183,-0.3557,5.2911
0.7984,-3.1392,-0.1201,2.0577,-0.3041,5.2001
0.8982,-3.1133,-0.0629,1.9990,-0.2908,5.1174
0.9985,-3.0762,-0.0371,1.9363,-0.2667,5.0177
1.1018,-3.0396,0.0125,1.8828,-0.2530,4.9295
1.2012,-2.9959,0.0332,1.8246,-0.2397,4.8282
1.3012,-2.9541,0.0713,1.7715,-0.2086,4.7339
1.4013,-2.9059,0.0870,1.7134,-0.1936,4.6278
1.5022,-2.8586,0.1130,1.6562,-0.1614,4.5231
1.6008,-2.8058,0.1220,1.6039,-0.1460,4.4178
1.7023,-2.7591,0.1360,1.5457,-0.1043,4.3115
1.8024,-2.7082,0.1370,1.4912,-0.0887,4.2054
1.9042,-2.6564,0.1155,1.4331,-0.0603,4.0934
2.0033,-2.6117,0.1109,1.3765,-0.0480,3.9913
2.1022,-2.5618,0.0985,1.3151,-0.0245,3.8788
2.2027,-2.5132,0.0884,1.2483,-0.0166,3.7629
2.3025,-2.4675,0.0638,1.1903,-0.0007,3.6584
2.4026,-2.4270,0.0473,1.1246,0.0048,3.5519
2.5024,-2.3874,0.0100,1.0563,0.0121,3.4437
2.6047,-2.3494,-0.0139,0.9905,0.0142,3.3400
2.7038,-2.3212,-0.0629,0.9248,0.0141,3.2469
2.8042,-2.2933,-0.0912,0.8610,0.0100,3.1559
2.9037,-2.2704,-0.1492,0.7989,-0.0004,3.0730
3.0051,-2.2504,-0.1792,0.7344,-0.0093,2.9897
3.1037,-2.2324,-0.2412,0.6802,-0.0297,2.9203
3.2056,-2.2236,-0.2745,0.6205,-0.0422,2.8535
