time_s,leader_x_m,leader_y_m,leader_vx_ms,leader_vy_ms,leader_v_ms,follower_x_m,follower_y_m,follower_vx_ms,follower_vy_ms,follower_v_ms,distance_m,nearest_formation_error_m
0.0994,-2.0862,0.7099,0.2858,-0.0013,0.2858,2.5174,0.4632,-0.2668,0.2502,0.3657,4.6102,2.6153
0.1988,-2.0497,0.7095,0.3462,-0.0055,0.3462,2.4878,0.4877,-0.2943,0.2453,0.3832,4.5429,2.5471
0.2987,-2.0184,0.7107,0.3370,0.0029,0.3370,2.4575,0.5193,-0.3185,0.2715,0.4185,4.4799,2.4832
0.4001,-1.9851,0.7113,0.3331,0.0024,0.3331,2.4267,0.5502,-0.3153,0.2990,0.4346,4.4147,2.4172
0.5001,-1.9562,0.7116,0.3060,-0.0032,0.3060,2.3955,0.5834,-0.3185,0.3217,0.4526,4.3535,2.3551
0.6000,-1.9264,0.7069,0.2979,-0.0546,0.3029,2.3621,0.6165,-0.3380,0.3206,0.4659,4.2895,2.2903
0.6998,-1.8916,0.7047,0.3371,-0.0384,0.3393,2.3300,0.6465,-0.3277,0.2905,0.4379,4.2221,2.2224
0.7999,-1.8625,0.6990,0.3004,-0.0550,0.3054,2.2962,0.6753,-0.3440,0.2786,0.4427,4.1588,2.1589
0.9008,-1.8317,0.6965,0.2931,-0.0369,0.2954,2.2496,0.7043,-0.3663,0.2813,0.4619,4.0813,2.0813
1.0004,-1.8006,0.6932,0.3076,-0.0360,0.3097,2.2119,0.7317,-0.3826,0.2692,0.4679,4.0127,2.0129
1.1002,-1.7721,0.6861,0.2732,-0.0817,0.2852,2.1772,0.7574,-0.3790,0.2524,0.4553,3.9499,1.9506
1.2004,-1.7425,0.6771,0.2901,-0.0905,0.3039,2.1403,0.7836,-0.3786,0.2532,0.4554,3.8843,1.8858
1.3005,-1.7116,0.6702,0.3042,-0.0790,0.3143,2.1007,0.8098,-0.4226,0.2467,0.4893,3.8149,1.8177
1.4008,-1.6820,0.6635,0.2972,-0.0718,0.3057,2.0617,0.8342,-0.4044,0.2367,0.4686,3.7475,1.7520
1.5014,-1.6530,0.6543,0.2865,-0.0826,0.2982,2.0197,0.8606,-0.4404,0.2450,0.5040,3.6785,1.6854
1.6010,-1.6223,0.6445,0.2965,-0.1100,0.3163,1.9808,0.8831,-0.4068,0.2205,0.4628,3.6110,1.6208
1.7008,-1.5985,0.6313,0.2589,-0.1113,0.2818,1.9397,0.9089,-0.4079,0.2352,0.4709,3.5490,1.5630
1.8023,-1.5709,0.6183,0.2720,-0.1291,0.3010,1.8955,0.9306,-0.4442,0.2120,0.4922,3.4804,1.4993
1.9020,-1.5413,0.6062,0.2814,-0.1290,0.3096,1.8510,0.9493,-0.4513,0.1884,0.4890,3.4096,1.4340
2.0022,-1.5128,0.5927,0.2833,-0.1356,0.3141,1.8075,0.9753,-0.4400,0.2160,0.4901,3.3423,1.3746
2.1018,-1.4905,0.5788,0.2343,-0.1715,0.2904,1.7605,0.9934,-0.4639,0.1856,0.4997,3.2774,1.3180
2.2009,-1.4642,0.5619,0.2563,-0.1703,0.3077,1.7126,1.0135,-0.4899,0.1733,0.5197,3.2087,1.2605
2.3017,-1.4391,0.5470,0.2557,-0.1624,0.3029,1.6683,1.0315,-0.4628,0.1701,0.4930,3.1450,1.2088
2.4020,-1.4473,0.5217,0.2239,-0.1560,0.2729,1.6160,1.0515,-0.4984,0.1692,0.5263,3.1088,1.1880
2.5017,-1.4215,0.5050,0.2342,-0.1776,0.2939,1.5698,1.0656,-0.4774,0.1431,0.4983,3.0434,1.1388
2.6012,-1.3955,0.4886,0.2457,-0.1774,0.3031,1.5252,1.0835,-0.4466,0.1450,0.4696,2.9807,1.0962
2.7016,-1.3815,0.4677,0.1765,-0.1988,0.2659,1.4713,1.0995,-0.5091,0.1453,0.5294,2.9219,1.0613
2.8037,-1.3598,0.4481,0.1806,-0.1888,0.2613,1.4057,1.0742,-0.4832,0.1383,0.5026,2.8355,0.9889
2.9059,-1.3345,0.4280,0.2291,-0.1969,0.3020,1.3585,1.0888,-0.4770,0.1340,0.4955,2.7729,0.9575
3.0071,-1.3147,0.4096,0.2102,-0.1933,0.2856,1.3048,1.1006,-0.5281,0.1145,0.5404,2.7091,0.9280
3.1074,-1.2965,0.3867,0.1744,-0.2322,0.2904,1.2616,1.1104,-0.4595,0.0948,0.4691,2.6585,0.9139
3.2088,-1.2769,0.3633,0.1806,-0.2267,0.2898,1.2115,1.1232,-0.4865,0.1010,0.4968,2.6019,0.9034
3.3088,-1.2598,0.3378,0.1731,-0.2461,0.3009,1.1682,1.1325,-0.4464,0.0873,0.4549,2.5548,0.9026
3.4092,-1.2438,0.3156,0.1681,-0.2389,0.2921,1.1213,1.1423,-0.4483,0.0885,0.4569,2.5054,0.9038
3.5083,-1.2255,0.2954,0.1766,-0.2136,0.2772,1.0796,1.1478,-0.4247,0.0576,0.4286,2.4577,0.9053
3.6084,-1.2100,0.2699,0.1503,-0.2525,0.2939,1.0334,1.1561,-0.4424,0.0626,0.4468,2.4121,0.9190
3.7096,-1.1977,0.2426,0.1310,-0.2664,0.2969,0.9882,1.1596,-0.4453,0.0346,0.4466,2.3704,0.9356
3.8100,-1.1795,0.2193,0.1788,-0.2427,0.3014,0.9446,1.1686,-0.4363,0.0613,0.4406,2.3266,0.9574
3.9086,-1.1707,0.1927,0.1162,-0.2594,0.2842,0.9017,1.1721,-0.4266,0.0335,0.4279,2.2922,0.9820
4.0089,-1.1565,0.1687,0.1335,-0.2456,0.2795,0.8589,1.1752,-0.4202,0.0233,0.4208,2.2528,1.0067
4.1094,-1.1435,0.1426,0.1131,-0.2654,0.2885,0.8174,1.1790,-0.4129,0.0252,0.4136,2.2179,1.0371
4.2099,-1.1351,0.1120,0.0907,-0.2889,0.3028,0.7787,1.1801,-0.3935,0.0114,0.3936,2.1917,1.0716
4.3095,-1.1247,0.0843,0.0992,-0.2807,0.2977,0.7342,1.1823,-0.4260,0.0115,0.4262,2.1590,1.1071
4.4096,-1.1149,0.0580,0.0808,-0.2697,0.2815,0.6955,1.1820,-0.4171,-0.0027,0.4171,2.1309,1.1398
4.5094,-1.1053,0.0297,0.0907,-0.2793,0.2937,0.6592,1.1823,-0.3763,-0.0056,0.3764,2.1076,1.1764
4.6097,-1.0976,0.0021,0.0680,-0.2747,0.2830,0.6163,1.1800,-0.4116,-0.0264,0.4124,2.0797,1.2122
4.7095,-1.0928,-0.0279,0.0543,-0.2923,0.2973,0.5768,1.1805,-0.3959,-0.0107,0.3961,2.0610,1.2527
4.8098,-1.0838,-0.0567,0.0724,-0.2940,0.3028,0.5419,1.1746,-0.3783,-0.0453,0.3810,2.0394,1.2870
4.9098,-1.0803,-0.0857,0.0448,-0.2905,0.2940,0.5027,1.1716,-0.3860,-0.0425,0.3883,2.0215,1.3246
5.0099,-1.0746,-0.1158,0.0510,-0.2970,0.3014,0.4787,1.1664,-0.3577,-0.0616,0.3630,2.0141,1.3578
5.1102,-1.0709,-0.1462,0.0224,-0.3043,0.3051,0.4420,1.1631,-0.3624,-0.0479,0.3655,2.0008,1.3970
5.2097,-1.0674,-0.1736,0.0336,-0.2963,0.2982,0.4026,1.1566,-0.3961,-0.0605,0.4007,1.9825,1.4319
5.3101,-1.0659,-0.2018,0.0188,-0.2857,0.2863,0.3693,1.1494,-0.3479,-0.0746,0.3558,1.9711,1.4644
5.4102,-1.0638,-0.2308,0.0328,-0.2846,0.2865,0.3365,1.1425,-0.3160,-0.0778,0.3254,1.9614,1.4985
5.5108,-1.0623,-0.2607,0.0195,-0.2953,0.2959,0.2972,1.1336,-0.3739,-0.0875,0.3840,1.9473,1.4883
5.6113,-1.0422,-0.3197,-0.0035,-0.2867,0.2867,0.2639,1.1264,-0.3575,-0.0791,0.3662,1.9486,1.4187
5.7107,-1.0434,-0.3510,-0.0103,-0.3061,0.3062,0.2263,1.1189,-0.3790,-0.0716,0.3857,1.9423,1.3759
5.8113,-1.0472,-0.3785,-0.0226,-0.2810,0.2819,0.1911,1.1137,-0.3856,-0.0657,0.3911,1.9391,1.3383
5.9120,-1.0450,-0.4104,0.0097,-0.3080,0.3082,0.1467,1.1111,-0.4339,-0.0328,0.4351,1.9327,1.2842
6.0119,-1.0484,-0.4371,-0.0149,-0.2838,0.2842,0.1093,1.1062,-0.4019,-0.0392,0.4038,1.9293,1.2446
6.1122,-1.0541,-0.4671,-0.0634,-0.2928,0.2996,0.0672,1.1052,-0.4217,-0.0154,0.4220,1.9312,1.2002
6.2120,-1.0630,-0.4951,-0.0816,-0.2871,0.2985,0.0207,1.1010,-0.4570,-0.0288,0.4579,1.9293,1.1565
6.3117,-1.0669,-0.5249,-0.0500,-0.2952,0.2994,-0.0222,1.1001,-0.4460,-0.0146,0.4463,1.9318,1.1099
6.4117,-1.0740,-0.5543,-0.0824,-0.2947,0.3060,-0.0643,1.0978,-0.4387,-0.0164,0.4390,1.9362,1.0679
6.5128,-1.0788,-0.5823,-0.0572,-0.2830,0.2887,-0.1116,1.0986,-0.4529,-0.0019,0.4529,1.9393,1.0185
6.6107,-1.0884,-0.6116,-0.0905,-0.2876,0.3015,-0.1618,1.0977,-0.4884,-0.0017,0.4884,1.9443,0.9712
6.7098,-1.1024,-0.6376,-0.1279,-0.2671,0.2961,-0.2101,1.1014,-0.5036,0.0217,0.5041,1.9546,0.9296
6.8095,-1.1121,-0.6661,-0.1220,-0.2743,0.3002,-0.2573,1.1021,-0.4879,0.0152,0.4881,1.9640,0.8856
6.9097,-1.1241,-0.6921,-0.1208,-0.2631,0.2895,-0.3061,1.1047,-0.4761,0.0138,0.4763,1.9742,0.8429
7.0092,-1.1318,-0.7230,-0.0907,-0.3026,0.3159,-0.3627,1.1088,-0.5333,0.0270,0.5340,1.9867,0.7872
7.1095,-1.1479,-0.7485,-0.1575,-0.2598,0.3038,-0.4050,1.1099,-0.4750,0.0096,0.4751,2.0014,0.7563
7.2106,-1.1609,-0.7745,-0.1398,-0.2605,0.2956,-0.4589,1.1118,-0.5151,0.0095,0.5152,2.0127,0.7111
7.3100,-1.1781,-0.7996,-0.1643,-0.2606,0.3081,-0.4822,1.1014,-0.5409,-0.0044,0.5409,2.0243,0.7029
7.4104,-1.1898,-0.8238,-0.1341,-0.2491,0.2829,-0.5348,1.0994,-0.5325,-0.0211,0.5330,2.0317,0.6595
7.5103,-1.2034,-0.8493,-0.1234,-0.2453,0.2746,-0.5806,1.1008,-0.4983,0.0006,0.4983,2.0472,0.6247
7.6105,-1.2243,-0.8761,-0.1967,-0.2462,0.3151,-0.6335,1.0963,-0.5184,-0.0339,0.5195,2.0590,0.5914
7.7102,-1.2396,-0.8972,-0.1536,-0.2370,0.2824,-0.6861,1.0921,-0.5035,-0.0414,0.5052,2.0649,0.5537
7.8109,-1.2619,-0.9158,-0.1974,-0.2051,0.2847,-0.7352,1.0888,-0.4958,-0.0407,0.4975,2.0727,0.5268
7.9117,-1.2788,-0.9405,-0.1801,-0.2220,0.2859,-0.7853,1.0831,-0.4977,-0.0574,0.5010,2.0830,0.4941
8.0105,-1.2939,-0.9621,-0.1613,-0.2181,0.2713,-0.8441,1.0779,-0.5560,-0.0581,0.5590,2.0890,0.4516
8.1104,-1.3171,-0.9863,-0.2075,-0.2166,0.3000,-0.8935,1.0713,-0.5514,-0.0556,0.5542,2.1008,0.4275
8.2104,-1.3369,-1.0048,-0.1999,-0.1976,0.2811,-0.9408,1.0598,-0.5022,-0.0966,0.5114,2.1022,0.4014
8.3109,-1.3589,-1.0246,-0.2202,-0.2006,0.2979,-0.9951,1.0533,-0.5310,-0.0843,0.5376,2.1095,0.3720
8.4108,-1.3787,-1.0433,-0.2057,-0.1919,0.2813,-1.0424,1.0451,-0.4935,-0.0870,0.5011,2.1153,0.3477
