time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.0000,-2.3023,0.4948,2.3565,0.1532,4.6713
0.1005,-2.3023,0.4948,2.3002,0.1861,4.6129
0.2016,-2.3023,0.4948,2.2443,0.2026,4.5560
0.3000,-2.3023,0.4948,2.1924,0.2358,4.5022
0.3997,-2.3023,0.4948,2.1385,0.2513,4.4475
0.5003,-2.3023,0.4948,2.0790,0.2814,4.3865
0.6008,-2.3023,0.4948,2.0306,0.2968,4.3374
0.6997,-2.3023,0.4948,1.9666,0.3247,4.2723
0.8005,-2.3023,0.4948,1.9109,0.3382,4.2161
0.9019,-2.3023,0.4948,1.8510,0.3635,4.1554
1.0042,-2.3023,0.4948,1.7878,0.3741,4.0919
1.1056,-2.2642,0.4304,1.7264,0.3931,3.9908
1.2041,-2.2223,0.4263,1.6570,0.3998,3.8793
1.3038,-2.1846,0.3745,1.5917,0.4049,3.7765
1.4033,-2.1488,0.3513,1.5219,0.4044,3.6711
1.5034,-2.1175,0.3013,1.4573,0.3919,3.5759
1.6040,-2.0917,0.2736,1.3925,0.3825,3.4859
1.7054,-2.0667,0.2142,1.3309,0.3742,3.4014
1.8057,-2.0498,0.1838,1.2694,0.3595,3.3238
1.9062,-2.0378,0.1191,1.2098,0.3478,3.2557
2.0052,-2.0278,0.0873,1.1518,0.3232,3.1884
2.1079,-2.0233,0.0234,1.0983,0.3065,3.1344
2.2074,-2.0237,-0.0093,1.0419,0.2760,3.0789
2.3069,-2.0326,-0.0742,0.9892,0.2596,3.0401
2.4072,-2.0411,-0.1076,0.9384,0.2226,2.9977
2.5061,-2.0628,-0.1736,0.8849,0.2048,2.9719
2.6074,-2.0760,-0.2053,0.8338,0.1677,2.9336
2.7079,-2.1021,-0.2660,0.7833,0.1454,2.9146
2.8082,-2.1322,-0.2964,0.7352,0.1035,2.8952
2.9071,-2.1660,-0.3494,0.6853,0.0828,2.8838
3.0098,-2.2039,-0.3732,0.6383,0.0383,2.8718
3.1100,-2.2441,-0.4214,0.5722,0.0052,2.8484
3.2091,-2.2853,-0.4394,0.5223,-0.0390,2.8361
3.3082,-2.3316,-0.4727,0.4749,-0.0607,2.8366
3.4115,-2.3818,-0.4850,0.4263,-0.1043,2.8338
3.5099,-2.4274,-0.5054,0.3757,-0.1258,2.8287
3.6109,-2.4789,-0.5111,0.3279,-0.1680,2.8277
3.7094,-2.5290,-0.5198,0.2776,-0.1886,2.8260
3.8099,-2.5755,-0.5191,0.2278,-0.2277,2.8184
3.9119,-2.6244,-0.5154,0.1735,-0.2466,2.8108
4.0128,-2.6763,-0.5059,0.1187,-0.2795,2.8041
4.1122,-2.7202,-0.4962,0.0655,-0.2950,2.7930
4.2112,-2.7676,-0.4727,0.0075,-0.3210,2.7792
4.3146,-2.8074,-0.4569,-0.0509,-0.3318,2.7594
4.4133,-2.8505,-0.4196,-0.1104,-0.3411,2.7412
4.5134,-2.8814,-0.3981,-0.1758,-0.3591,2.7058
4.6141,-2.9205,-0.3524,-0.2434,-0.3629,2.6771
4.7140,-2.9469,-0.3263,-0.3311,-0.3696,2.6162
4.8142,-2.9756,-0.2703,-0.4025,-0.3683,2.5749
4.9160,-2.9916,-0.2390,-0.4671,-0.3629,2.5275
5.0157,-3.0079,-0.1780,-0.5294,-0.3559,2.4849
5.1178,-3.0213,-0.1453,-0.5925,-0.3390,2.4366
5.2170,-3.0271,-0.0235,-0.6513,-0.3271,2.3952
5.3167,-3.0229,0.0100,-0.7062,-0.2993,2.3372
5.4177,-3.0197,0.1087,-0.7607,-0.2813,2.2924
5.5173,-3.0127,0.1406,-0.8127,-0.2446,2.2335
5.6177,-2.9937,0.1720,-0.8496,-0.2035,2.1768
5.7191,-2.9765,0.2028,-0.9009,-0.1613,2.1074
5.8198,-2.9520,0.2634,-0.9507,-0.1423,2.0420
5.9184,-2.9224,0.2921,-0.9991,-0.1015,1.9632
6.0211,-2.8873,0.3465,-1.0489,-0.0810,1.8874
6.1203,-2.8503,0.3954,-1.0959,-0.0377,1.8070
