time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.0061,-2.5650,-0.0955,2.9208,0.0147,5.4869
0.0068,-2.5650,-0.0955,2.8462,0.0052,5.4121
0.0071,-2.5650,-0.0955,2.7790,0.0049,5.3450
0.0075,-2.5650,-0.0955,2.7083,0.0016,5.2743
0.0078,-2.5650,-0.0955,2.6411,0.0001,5.2070
0.0081,-2.5650,-0.0955,2.5752,-0.0022,5.1411
0.0084,-2.5650,-0.0955,2.5068,-0.0014,5.0727
0.0087,-2.5650,-0.0955,2.4404,-0.0031,5.0063
0.0089,-2.5650,-0.0955,2.3680,-0.0075,4.9338
0.0092,-2.5650,-0.0955,2.3067,-0.0112,4.8724
0.1004,-2.5273,-0.1198,2.2384,-0.0184,4.7668
0.2002,-2.4943,-0.1680,2.1727,-0.0235,4.6692
0.2991,-2.4619,-0.1941,2.1121,-0.0389,4.5766
0.4009,-2.4396,-0.2515,2.0512,-0.0479,4.4953
0.5001,-2.4173,-0.2811,1.9905,-0.0691,4.4130
0.6019,-2.4027,-0.3444,1.9375,-0.0807,4.3481
0.7014,-2.3903,-0.3761,1.8867,-0.1288,4.2842
0.8010,-2.3847,-0.4416,1.8330,-0.1433,4.2283
0.9017,-2.3842,-0.4741,1.7772,-0.1751,4.1721
1.0019,-2.3878,-0.5407,1.7195,-0.1917,4.1221
1.1040,-2.4042,-0.5993,1.6680,-0.2273,4.0892
1.2038,-2.4173,-0.6639,1.6158,-0.2472,4.0546
1.3047,-2.4349,-0.6945,1.5649,-0.2876,4.0204
1.4035,-2.4602,-0.7560,1.5131,-0.3101,3.9983
1.5066,-2.4883,-0.7844,1.4632,-0.3554,3.9747
1.6046,-2.5197,-0.8403,1.4119,-0.3779,3.9587
1.7065,-2.5487,-0.8650,1.3622,-0.4255,3.9355
1.8038,-2.5911,-0.9115,1.3145,-0.4472,3.9331
1.9053,-2.6302,-0.9299,1.2677,-0.4959,3.9219
2.0050,-2.6746,-0.9667,1.2171,-0.5204,3.9171
