time_s,leader_x_m,leader_y_m,follower_x_m,follower_y_m,distance_m
0.0000,-2.8055,0.0910,2.2058,-0.0735,5.0140
0.1005,-2.7576,0.0967,2.1378,-0.0600,4.8979
0.2005,-2.7040,0.1062,2.0816,-0.0503,4.7882
0.3013,-2.6563,0.1114,2.0190,-0.0285,4.6774
0.4013,-2.6070,0.1130,1.9608,-0.0284,4.5700
0.5038,-2.5599,0.0951,1.8959,-0.0096,4.4571
0.6021,-2.5277,0.0544,1.8293,-0.0033,4.3574
0.7022,-2.4761,0.0310,1.7651,0.0102,4.2413
0.8019,-2.4303,0.0202,1.6983,0.0136,4.1286
0.9021,-2.3921,-0.0146,1.6283,0.0172,4.0206
1.0041,-2.3588,-0.0411,1.5613,0.0156,3.9205
1.1028,-2.3252,-0.0646,1.4912,0.0102,3.8171
1.2046,-2.2917,-0.1172,1.4403,-0.0036,3.7338
1.3036,-2.2607,-0.1698,1.3717,-0.0095,3.6359
1.4038,-2.2448,-0.1988,1.3156,-0.0219,3.5648
1.5036,-2.2338,-0.2653,1.2541,-0.0309,3.4957
1.6035,-2.2244,-0.2959,1.1965,-0.0542,3.4295
1.7037,-2.2118,-0.3605,1.1362,-0.0691,3.3606
1.8048,-2.2003,-0.3920,1.0835,-0.0981,3.2970
1.9047,-2.2022,-0.4581,1.0280,-0.1145,3.2485
2.0047,-2.2104,-0.4909,0.9750,-0.1501,3.2036
2.1043,-2.2325,-0.5529,0.9262,-0.1686,3.1819
2.2051,-2.2523,-0.5830,0.8724,-0.2074,3.1472
2.3044,-2.2752,-0.6436,0.8227,-0.2265,3.1259
2.4057,-2.3005,-0.6737,0.7711,-0.2694,3.0981
2.5050,-2.3257,-0.7306,0.7233,-0.2914,3.0804
2.6075,-2.3702,-0.7507,0.6735,-0.3367,3.0718
2.7056,-2.4116,-0.7898,0.6289,-0.3598,3.0708
2.8073,-2.4544,-0.8099,0.5676,-0.4345,3.0452
2.9086,-2.4901,-0.8297,0.5193,-0.4563,3.0325
3.0073,-2.5362,-0.8640,0.4660,-0.4978,3.0244
3.1076,-2.5854,-0.8717,0.4113,-0.5179,3.0175
3.2073,-2.6355,-0.8815,0.3622,-0.5571,3.0151
3.3077,-2.6867,-0.8870,0.3106,-0.5766,3.0133
3.4096,-2.7329,-0.8967,0.2602,-0.6138,3.0064
3.5094,-2.7851,-0.8949,0.2080,-0.6310,3.0048
3.6097,-2.8306,-0.8822,0.1487,-0.6628,2.9873
3.7088,-2.8769,-0.8732,0.0898,-0.6765,2.9732
3.8113,-2.9269,-0.8504,0.0308,-0.7029,2.9613
3.9097,-2.9677,-0.8380,-0.0263,-0.7137,2.9441
4.0109,-3.0122,-0.8088,-0.0884,-0.7336,2.9248
4.1125,-3.0435,-0.7845,-0.1561,-0.7393,2.8877
4.2145,-3.0804,-0.7344,-0.2254,-0.7482,2.8551
4.3148,-3.1104,-0.7108,-0.2906,-0.7501,2.8200
4.4125,-3.1419,-0.6601,-0.3628,-0.7388,2.7802
4.5169,-3.1705,-0.6305,-0.4276,-0.7355,2.7449
4.6149,-3.1755,-0.5713,-0.4912,-0.7216,2.6885
4.7148,-3.1872,-0.5173,-0.5490,-0.7121,2.6453
4.8148,-3.1992,-0.4539,-0.6129,-0.6887,2.5969
4.9150,-3.2073,-0.4211,-0.6703,-0.6747,2.5497
5.0144,-3.2081,-0.3571,-0.7213,-0.6459,2.5035
5.1140,-3.1921,-0.3242,-0.7759,-0.6284,2.4353
5.2147,-3.1764,-0.2570,-0.8302,-0.5941,2.3703
5.3149,-3.1631,-0.2255,-0.8823,-0.5652,2.3059
5.4159,-3.1476,-0.1600,-0.9307,-0.5451,2.2501
5.5149,-3.1246,-0.1318,-0.9808,-0.5047,2.1760
5.6157,-3.0860,-0.0780,-1.0333,-0.4843,2.0926
5.7161,-3.0524,-0.0541,-1.0806,-0.4426,2.0097
5.8171,-3.0157,-0.0065,-1.1305,-0.4203,1.9300
5.9165,-2.9808,0.0172,-1.1790,-0.3770,1.8444
6.0187,-2.9370,0.0590,-1.2298,-0.3535,1.7564
6.1165,-2.8865,0.0680,-1.2726,-0.3079,1.6571
6.2167,-2.8401,0.0874,-1.3205,-0.2816,1.5638
6.3182,-2.7919,0.0969,-1.3632,-0.2299,1.4656
6.4173,-2.7440,0.1159,-1.3996,-0.1971,1.3803
6.5183,-2.6963,0.1183,-1.4324,-0.1264,1.2874
6.6173,-2.6453,0.1108,-1.4638,-0.0897,1.1984
6.7202,-2.6005,0.0831,-1.4759,-0.0099,1.1284
6.8203,-2.5500,0.0759,-1.4853,0.0294,1.0657
6.9250,-2.5016,0.0619,-1.4795,0.1340,1.0247
7.0213,-2.4540,0.0467,-1.4534,0.1596,1.0069
7.1203,-2.4206,0.0160,-1.4089,0.2019,1.0286
7.2210,-2.3828,-0.0056,-1.3747,0.2017,1.0293
7.3216,-2.3475,-0.0509,-1.3594,0.1880,1.0166
7.4200,-2.3079,-0.0738,-1.3312,0.1618,1.0047
7.5207,-2.2781,-0.1221,-1.3007,0.0963,1.0015
7.6212,-2.2577,-0.1523,-1.2767,0.0562,1.0029
7.7210,-2.2445,-0.2139,-1.2573,-0.0230,1.0055
7.8202,-2.2289,-0.2463,-1.2394,-0.0645,1.0061
7.9239,-2.2099,-0.3087,-1.2269,-0.1456,0.9965
8.0212,-2.2059,-0.3401,-1.2122,-0.1855,1.0056
8.1227,-2.2166,-0.4053,-1.1951,-0.2657,1.0310
8.2223,-2.2225,-0.4388,-1.1917,-0.3060,1.0393
8.3231,-2.2308,-0.5050,-1.2216,-0.3856,1.0162
8.4214,-2.2340,-0.5362,-1.2361,-0.4240,1.0042
8.5229,-2.2526,-0.6017,-1.2424,-0.5016,1.0152
8.6225,-2.2862,-0.6304,-1.2436,-0.5396,1.0466
