case,initial_distance,max_distance,tail_mean_distance,tail_rms_distance,tail_std_distance,final_distance,max_cmd_speed,mean_cmd_delta,speed_clip_ratio,accel_clip_ratio,mean_solve_ms,max_solve_ms,mean_solve_iters,solver_failures
artstein_hpc_no_delay,0.5353016020641873,0.5353016020641873,0.014114064054959264,0.014132183130173743,0.0007153991034899143,0.012916921548332856,0.5,0.01966866374878946,0.005555555555555556,0.8744444444444445,0.0,0.0,0.0,0
artstein_lqr_no_delay,0.5368953023043995,0.5368953023043995,0.010022814355770758,0.010022814355770756,1.0001239422085891e-15,0.010022814355771247,0.49941889116842186,0.002222028737286595,0.034444444444444444,0.06,0.0,0.0,0.0,0
original_4d_delay,0.5385164807134505,0.5413806755644078,0.07107474225155617,0.0712533752779753,0.005042271549493932,0.07881252878715306,0.465180733073114,0.011862603834070763,0.0,0.042222222222222223,0.0,0.0,0.0,0
artstein_hpc_delay,0.5385164807134505,0.5409199120144886,0.011531579115163988,0.011539362794654324,0.0004237650497223027,0.011940861478552696,0.5,0.019257012319196985,0.0033333333333333335,0.8866666666666667,0.0,0.0,0.0,0
artstein_lqr_delay,0.5385164807134505,0.5413460308675738,0.015698169207138363,0.015698169207138363,2.0614486916515247e-15,0.015698169207139206,0.5,0.0020137674579448466,0.04,0.028888888888888888,0.0,0.0,0.0,0
