case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only,3.176311,0.502822,0.085304,0.435900
matlab_leader_artstein_td_only,3.177343,0.309929,0.138377,0.369351
matlab_leader_artstein_prediction,3.176184,0.285211,0.097963,0.203271
circle_original_delay_clean,1.554816,0.563640,0.045481,0.499661
circle_forward_prediction_only_clean,1.554816,0.178641,0.000000,0.178641
circle_artstein_td_only_clean,1.554675,0.026248,0.000000,0.026248
circle_artstein_prediction_clean,1.554445,0.086244,0.000000,0.086244
circle_original_delay_noise,1.554664,0.541485,0.055381,0.503398
circle_forward_prediction_only_noise,1.554813,0.177660,0.005716,0.176968
circle_artstein_td_only_noise,1.554619,0.074496,0.032053,0.075676
circle_artstein_prediction_noise,1.554445,0.091124,0.007834,0.090495
