case,max_distance,tail_mean_distance,tail_std_distance,final_distance,max_cmd_speed,tail_mean_cmd_speed,tail_std_cmd_speed,tail_mean_real_speed,tail_std_real_speed
original_4d_delay_big_noise_accel_limit,4.366681,3.865642,0.327093,4.194661,2.121320,2.047106,0.173522,1.366733,0.118283
artstein_prediction_big_noise_accel_limit,1.586662,0.260807,0.033130,0.244501,1.016885,0.567034,0.030510,0.565544,0.014294
