group,scenario_count,unsafe_count,min_h,min_distance,infeasible_scenarios,max_sample_distance_gap
all,16,1,-0.0027653186410853126,0.7982698048648181,0,0.000397992150178883
exact_feasible,4,0,0.0010360964078848234,0.8006472983829303,0,0.000397992150178883
