tau_actual,tau_model,delay_model,delay_actual,initial_clearance,initial_radial_speed,initial_lateral_speed,nominal_radial_speed,min_h,min_distance,min_psi2,max_command_norm,infeasible_steps,braking_steps,min_h_1khz,min_distance_1khz,sample_distance_gap,exact_model
0.3,0.3,0.22,0.22,0.4,0.5,0.0,0.8,0.001078794888144552,0.8006739629138346,-1.0781306403195856e-15,0.29838496399204983,0,0,0.0017162771900807172,0.8010719550640135,0.000397992150178883,1
0.3,0.3,0.22,0.22,0.4,0.5,0.2,0.8,0.0053236736079402824,0.8033204053227706,-1.1934897514720433e-15,0.6281750284785319,0,0,0.0018436526037488576,0.8011514542230758,0.0,1
0.3,0.3,0.22,0.27,0.4,0.5,0.0,0.8,0.00010699482355458478,0.8000668689700597,-1.27675647831893e-15,0.29838496399204983,0,0,0.0006560880660620994,0.8004099500044101,0.0003430810343503232,0
0.3,0.3,0.22,0.27,0.4,0.5,0.2,0.8,0.006548639579701754,0.8040824830698041,-1.1102230246251565e-15,0.583044446914614,0,0,0.00660754988504153,0.8041191142393281,3.663116952401513e-05,0
0.3,0.36,0.22,0.22,0.4,0.5,0.0,0.8,0.0035350634934078196,0.8022063721346322,-7.979727989493313e-16,0.2967784259435883,0,0,0.004124787114563766,0.8025738515018813,0.0003674793672491239,0
0.3,0.36,0.22,0.22,0.4,0.5,0.2,0.8,0.0020250033998785444,0.8012646275731125,-8.881784197001252e-16,0.6270085081207736,0,0,-0.002197023190497749,0.798625680033833,0.0,0
0.3,0.36,0.22,0.27,0.4,0.5,0.0,0.8,0.0027173967981303226,0.8016965740216996,-6.661338147750939e-16,0.29719298930988947,0,0,0.0032551318593406764,0.8020318770842845,0.00033530306258489073,0
0.3,0.36,0.22,0.27,0.4,0.5,0.2,0.8,0.008301990405917836,0.8051720253498118,-8.881784197001252e-16,0.5819642634797014,0,0,0.006003857847032723,0.8037436518237845,0.0,0
0.55,0.55,0.22,0.22,0.4,0.5,0.0,0.8,0.0010360964078848234,0.8006472983829303,-6.07844395476842e-16,0.23916041267356758,0,0,0.0011768773027416302,0.8007352104801823,8.791209725200755e-05,1
0.55,0.55,0.22,0.22,0.4,0.5,0.2,0.8,0.00520843675271665,0.8032486767824251,-4.996003610813204e-16,0.7577226903705703,0,0,0.0013073171054063248,0.8008166563611214,0.0,1
0.55,0.55,0.22,0.27,0.4,0.5,0.0,0.8,0.0008851805925346179,0.8005530467074213,-7.305354238207329e-16,0.23916041267356758,0,0,0.0010015603496005276,0.8006257305068334,7.268379941205438e-05,0
0.55,0.55,0.22,0.27,0.4,0.5,0.2,0.8,0.008722482890600958,0.8054331026786775,-6.106226635438361e-16,0.7262962582965954,0,0,0.007477474799414963,0.8046598503712081,0.0,0
0.55,0.66,0.22,0.22,0.4,0.5,0.0,0.8,0.0037469401349895515,0.8023384199544414,-5.655198531684391e-16,0.18600932266466785,0,0,0.003902310236209572,0.8024352374093561,9.681745491463278e-05,0
0.55,0.66,0.22,0.22,0.4,0.5,0.2,0.8,-0.0027653186410853126,0.7982698048648181,-7.355227538141662e-16,0.7598686543281936,0,0,-0.007429574164229069,0.7953429611405202,0.0,0
0.55,0.66,0.22,0.27,0.4,0.5,0.0,0.8,0.0035556907401733673,0.8022192286028635,-4.77048955893622e-16,0.1934093494242174,0,0,0.003700594261768164,0.8023095376859035,9.030908303997442e-05,0
0.55,0.66,0.22,0.27,0.4,0.5,0.2,0.8,0.005582379485328248,0.803481412034733,-5.551115123125783e-16,0.7279571328858089,0,0,0.0019769386124370847,0.8012346339321818,0.0,0
