case,initial_distance,max_distance,tail_mean_distance,tail_rms_distance,tail_std_distance,final_distance,max_cmd_speed,mean_cmd_delta,speed_clip_ratio,accel_clip_ratio,mean_solve_ms,max_solve_ms,mean_solve_iters,solver_failures
artstein_hpc_no_delay_noise,0.6967146822853332,0.6967146822853332,0.1409960792763954,0.14169842484070844,0.014090749838895352,0.1245267596774673,0.5,0.01436880869451233,0.9788888888888889,0.47333333333333333,0.0,0.0,0.0,0
artstein_lqr_no_delay_noise,0.7023824941603666,0.7023824941603666,0.17410531619334246,0.17465147969849154,0.013801385223550748,0.15429617362453968,0.5,0.014512324478519913,0.9977777777777778,0.47,0.0,0.0,0.0,0
original_4d_delay_noise,0.7071067811865476,1.1816639419976023,1.1706630848357087,1.1706834769945007,0.006909783706858382,1.1785458287035768,0.5,0.013788567540215721,0.9655555555555555,0.4311111111111111,0.0,0.0,0.0,0
artstein_hpc_delay_noise,0.7071067811865476,0.8178322409922084,0.5298495810052698,0.5298525357033729,0.0017694914054562714,0.5344249338110683,0.5,0.00982323437116646,0.98,0.14555555555555555,0.0,0.0,0.0,0
artstein_lqr_delay_noise,0.7071067811865476,0.8099553351212591,0.43389444130370236,0.43391742376550674,0.00446592129826935,0.43277785300000354,0.5,0.013769957010231156,1.0,0.41555555555555557,0.0,0.0,0.0,0
