time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.0006,0.1549,1.7754,-0.2669,-0.1491,0.3057,0.0743,0.0069,-2.0234,1.8883,0.3762,-0.0654,0.3819,-0.0087,-0.0137,2.1812
0.0008,0.1549,1.7754,-0.2669,-0.1491,0.3057,0.0743,0.0069,-2.0201,1.8874,0.3762,-0.0654,0.3819,-0.0088,-0.0137,2.1779
0.0197,0.1524,1.7737,-0.2672,-0.1486,0.3057,0.0725,0.0040,-2.0162,1.8863,0.3760,-0.0680,0.3821,-0.0088,-0.0093,2.1715
0.0201,0.1498,1.7721,-0.2672,-0.1486,0.3057,0.0706,0.0040,-2.0126,1.8851,0.3760,-0.0680,0.3821,-0.0088,-0.0093,2.1653
0.0300,0.1476,1.7709,-0.2700,-0.1511,0.3094,0.0689,0.0122,-2.0095,1.8841,0.3794,-0.0723,0.3863,-0.0089,-0.0099,2.1600
0.0398,0.1430,1.7686,-0.2701,-0.1513,0.3096,0.0657,0.0137,-2.0060,1.8828,0.3797,-0.0739,0.3868,-0.0093,-0.0099,2.1520
0.0401,0.1430,1.7686,-0.2701,-0.1513,0.3096,0.0657,0.0137,-2.0030,1.8819,0.3797,-0.0739,0.3868,-0.0092,-0.0099,2.1490
0.0599,0.1405,1.7673,-0.2713,-0.1519,0.3109,0.0636,0.0121,-1.9995,1.8807,0.3806,-0.0775,0.3884,-0.0092,-0.0078,2.1430
0.0603,0.1383,1.7662,-0.2713,-0.1519,0.3109,0.0619,0.0121,-1.9963,1.8797,0.3815,-0.0794,0.3897,-0.0092,-0.0062,2.1377
0.0799,0.1362,1.7651,-0.2728,-0.1524,0.3124,0.0604,0.0069,-1.9930,1.8787,0.3824,-0.0811,0.3909,-0.0091,-0.0027,2.1323
0.0803,0.1337,1.7638,-0.2728,-0.1524,0.3124,0.0584,0.0069,-1.9893,1.8776,0.3817,-0.0824,0.3905,-0.0087,-0.0035,2.1260
0.0900,0.1315,1.7626,-0.2734,-0.1524,0.3130,0.0568,0.0044,-1.9861,1.8767,0.3829,-0.0842,0.3921,-0.0084,-0.0011,2.1207
0.0904,0.1291,1.7612,-0.2732,-0.1522,0.3128,0.0550,0.0034,-1.9823,1.8756,0.3829,-0.0842,0.3921,-0.0080,-0.0011,2.1145
0.1099,0.1266,1.7597,-0.2742,-0.1530,0.3140,0.0529,0.0036,-1.9788,1.8745,0.3848,-0.0872,0.3945,-0.0079,0.0014,2.1086
0.1103,0.1243,1.7583,-0.2742,-0.1530,0.3140,0.0506,0.0036,-1.9756,1.8733,0.3848,-0.0872,0.3945,-0.0080,0.0014,2.1030
0.1198,0.1222,1.7572,-0.2745,-0.1540,0.3148,0.0488,0.0045,-1.9726,1.8724,0.3854,-0.0904,0.3958,-0.0080,0.0032,2.0980
0.1296,0.1198,1.7559,-0.2752,-0.1545,0.3156,0.0468,0.0061,-1.9696,1.8713,0.3858,-0.0918,0.3965,-0.0081,0.0012,2.0926
0.1299,0.1181,1.7550,-0.2752,-0.1545,0.3156,0.0457,0.0061,-1.9672,1.8706,0.3858,-0.0918,0.3965,-0.0081,0.0012,2.0885
0.1499,0.1154,1.7536,-0.2747,-0.1542,0.3150,0.0442,0.0071,-1.9636,1.8692,0.3843,-0.0940,0.3956,-0.0081,0.0011,2.0822
0.1504,0.1133,1.7525,-0.2747,-0.1542,0.3150,0.0429,0.0071,-1.9607,1.8682,0.3843,-0.0940,0.3956,-0.0082,0.0011,2.0771
0.1598,0.1111,1.7513,-0.2758,-0.1544,0.3161,0.0416,0.0070,-1.9575,1.8672,0.3852,-0.0971,0.3973,-0.0082,0.0014,2.0719
0.1601,0.1087,1.7498,-0.2754,-0.1540,0.3155,0.0399,0.0069,-1.9539,1.8660,0.3853,-0.0982,0.3976,-0.0078,0.0015,2.0658
0.1796,0.1063,1.7483,-0.2765,-0.1547,0.3168,0.0387,0.0065,-1.9507,1.8647,0.3873,-0.0999,0.3999,-0.0068,0.0030,2.0603
0.1798,0.1041,1.7470,-0.2765,-0.1547,0.3168,0.0372,0.0065,-1.9472,1.8636,0.3873,-0.0999,0.3999,-0.0052,0.0030,2.0547
0.2001,0.1022,1.7459,-0.2762,-0.1547,0.3166,0.0361,0.0055,-1.9444,1.8626,0.3876,-0.1027,0.4010,-0.0042,0.0051,2.0499
0.2005,0.0996,1.7445,-0.2758,-0.1543,0.3160,0.0343,0.0046,-1.9403,1.8613,0.3872,-0.1038,0.4009,-0.0020,0.0044,2.0433
0.2099,0.0975,1.7434,-0.2764,-0.1546,0.3167,0.0333,0.0041,-1.9375,1.8603,0.3888,-0.1052,0.4027,-0.0005,0.0010,2.0383
0.2200,0.0950,1.7420,-0.2766,-0.1549,0.3170,0.0312,0.0042,-1.9337,1.8590,0.3892,-0.1064,0.4034,0.0005,-0.0004,2.0320
0.2204,0.0931,1.7410,-0.2766,-0.1549,0.3170,0.0302,0.0042,-1.9310,1.8581,0.3892,-0.1064,0.4034,0.0011,-0.0004,2.0274
0.2400,0.0906,1.7397,-0.2766,-0.1551,0.3171,0.0290,0.0093,-1.9275,1.8569,0.3901,-0.1089,0.4050,0.0017,-0.0021,2.0216
0.2404,0.0883,1.7383,-0.2766,-0.1551,0.3171,0.0267,0.0093,-1.9242,1.8556,0.3902,-0.1101,0.4055,0.0025,-0.0002,2.0159
0.2600,0.0865,1.7373,-0.2767,-0.1549,0.3171,0.0253,0.0106,-1.9214,1.8548,0.3910,-0.1116,0.4066,0.0034,0.0005,2.0113
0.2604,0.0841,1.7360,-0.2767,-0.1549,0.3171,0.0231,0.0106,-1.9177,1.8534,0.3910,-0.1116,0.4066,0.0041,0.0005,2.0052
0.2699,0.0819,1.7348,-0.2765,-0.1539,0.3165,0.0217,0.0101,-1.9142,1.8522,0.3918,-0.1140,0.4081,0.0048,-0.0021,1.9996
0.2702,0.0798,1.7336,-0.2765,-0.1539,0.3165,0.0207,0.0101,-1.9108,1.8509,0.3918,-0.1140,0.4081,0.0049,-0.0021,1.9940
0.2899,0.0778,1.7325,-0.2755,-0.1527,0.3150,0.0203,0.0026,-1.9076,1.8499,0.3928,-0.1162,0.4097,0.0054,-0.0035,1.9889
0.2903,0.0755,1.7312,-0.2755,-0.1527,0.3150,0.0191,0.0026,-1.9040,1.8484,0.3932,-0.1171,0.4103,0.0055,-0.0044,1.9829
0.2997,0.0736,1.7300,-0.2749,-0.1526,0.3145,0.0181,0.0042,-1.9009,1.8473,0.3937,-0.1184,0.4111,0.0059,-0.0042,1.9780
0.3097,0.0710,1.7285,-0.2746,-0.1526,0.3141,0.0169,0.0047,-1.8972,1.8458,0.3936,-0.1193,0.4113,0.0059,-0.0110,1.9717
0.3100,0.0690,1.7275,-0.2746,-0.1526,0.3141,0.0166,0.0047,-1.8944,1.8448,0.3936,-0.1193,0.4113,0.0059,-0.0110,1.9668
0.3300,0.0669,1.7264,-0.2753,-0.1526,0.3148,0.0159,0.0050,-1.8913,1.8437,0.3945,-0.1216,0.4128,0.0060,-0.0068,1.9617
0.3304,0.0645,1.7250,-0.2747,-0.1522,0.3141,0.0148,0.0029,-1.8879,1.8422,0.3943,-0.1225,0.4129,0.0062,-0.0084,1.9559
0.3499,0.0623,1.7237,-0.2749,-0.1524,0.3143,0.0139,0.0016,-1.8844,1.8409,0.3951,-0.1240,0.4142,0.0063,-0.0083,1.9502
0.3598,0.0602,1.7224,-0.2743,-0.1520,0.3136,0.0134,0.0020,-1.8809,1.8396,0.3955,-0.1249,0.4147,0.0066,-0.0078,1.9446
0.3602,0.0586,1.7215,-0.2743,-0.1520,0.3136,0.0132,0.0020,-1.8779,1.8387,0.3955,-0.1249,0.4147,0.0066,-0.0078,1.9400
0.3699,0.0561,1.7200,-0.2724,-0.1515,0.3117,0.0128,0.0022,-1.8738,1.8371,0.3961,-0.1264,0.4157,0.0072,-0.0069,1.9335
0.3702,0.0545,1.7190,-0.2724,-0.1515,0.3117,0.0125,0.0022,-1.8708,1.8361,0.3961,-0.1264,0.4157,0.0073,-0.0069,1.9289
0.3900,0.0524,1.7176,-0.2708,-0.1512,0.3101,0.0121,0.0038,-1.8673,1.8348,0.3965,-0.1280,0.4167,0.0074,-0.0226,1.9233
0.3902,0.0504,1.7164,-0.2708,-0.1512,0.3101,0.0116,0.0038,-1.8642,1.8335,0.3965,-0.1280,0.4167,0.0073,-0.0226,1.9181
0.4102,0.0465,1.7141,-0.2703,-0.1517,0.3100,0.0109,0.0033,-1.8608,1.8320,0.3976,-0.1304,0.4184,0.0072,-0.0235,1.9109
0.4104,0.0465,1.7141,-0.2703,-0.1517,0.3100,0.0109,0.0033,-1.8581,1.8309,0.3968,-0.1316,0.4180,0.0072,-0.0226,1.9081
