case,initial_distance,max_distance,tail_mean_distance,tail_rms_distance,tail_std_distance,final_distance,max_cmd_speed,mean_cmd_delta,speed_clip_ratio,accel_clip_ratio,mean_solve_ms,max_solve_ms,mean_solve_iters,solver_failures
artstein_hpc_no_delay,0.6969083222248216,0.6969083222248216,0.09596550874636763,0.09665603147720535,0.011532976717801353,0.07803443651532936,0.5,0.006454386934060625,0.9788888888888889,0.027777777777777776,0.0,0.0,0.0,0
artstein_lqr_no_delay,0.7018607634606403,0.7018607634606403,0.1405441988801104,0.14134519792703432,0.015026414681502915,0.11702526083603344,0.5,0.006525888032655587,0.9988888888888889,0.03,0.0,0.0,0.0,0
original_4d_delay,0.7071067811865476,1.1343071409692218,1.1334091361850849,1.133409417492767,0.0007985445969544014,1.1343071409692218,0.5,0.006219390591119039,0.9666666666666667,0.011111111111111112,0.0,0.0,0.0,0
artstein_hpc_delay,0.7071067811865476,0.8157042098936022,0.5341840222782126,0.5341843086520516,0.0005531299489281499,0.5335583455533577,0.5,0.006422461680578217,0.98,0.027777777777777776,0.0,0.0,0.0,0
artstein_lqr_delay,0.7071067811865476,0.8082175082825781,0.4163782193725384,0.4164315435752639,0.006664001547961601,0.40691465021505213,0.5,0.0064367401665360756,1.0,0.027777777777777776,0.0,0.0,0.0,0
