case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only_tau070,3.176326,0.621245,0.045168,0.663960
matlab_leader_artstein_prediction_tau043,3.176184,0.285211,0.097963,0.203271
circle_original_delay_clean,1.601634,0.602789,0.014411,0.605325
circle_forward_prediction_only_tau070_clean,1.586662,0.333150,0.000022,0.333128
circle_artstein_prediction_tau043_clean,1.586662,0.068332,0.000000,0.068332
circle_original_delay_noise,1.610287,0.594400,0.059597,0.665172
circle_forward_prediction_only_tau070_noise,1.586662,0.352123,0.007387,0.357674
circle_artstein_prediction_tau043_noise,1.586662,0.140306,0.005583,0.134811
