sample_count,mean_distance_m,std_distance_m,mean_abs_distance_error_m,rms_distance_error_m,tail_window_s,tail_mean_abs_distance_error_m,tail_distance_error_std_m,mean_relative_velocity_error_mps,tail_mean_relative_velocity_error_mps,experiment_id,display_label,comparison,controller_family,source_dir,trial_id,ideal_radius_m,duration_s,leader_path_length_m,follower_path_length_m,mean_leader_speed_mps,std_leader_speed_mps,mean_follower_speed_mps,std_follower_speed_mps
5455,1.0841654628780935,0.26612474615433923,0.12017763519706691,0.2791168315548083,10.0,0.044358580858085805,0.04714181365416497,0.08557401922114728,0.04618731766484002,hpc_feedforward_on,Artstein-HPC（Leader 命令前馈：开）,leader_command_feedforward,artstein_hpc,robot_traj/real/4d_artstein_forward_8traj_20260914_204226,trial_02,1.0,45.0597,11.202395034028251,13.538963864852443,0.24584659945004583,0.018270478230715932,0.29735385884509624,0.06637089864014861
5455,1.0870709074243814,0.27611752107921533,0.12823670027497708,0.2895206872861352,10.0,0.048494797687861274,0.05153993683975936,0.09207384742370392,0.050523685003025266,hpc_feedforward_off,Artstein-HPC（Leader 命令前馈：关）,leader_command_feedforward,artstein_hpc,robot_traj/real/4d_artstein_no_forward_8traj_20260914_204546,trial_01,1.0,45.0794,11.215647211881294,13.753714597337373,0.24610124656278642,0.01755382917493293,0.30195462878093493,0.06919756349671168
5456,1.1029353555718475,0.29714097559685243,0.1541797104105572,0.31446533482301653,10.0,0.050902314049586776,0.05846029644998751,0.09779754788200999,0.06737507087353296,hpc_lpc_reference,Artstein-HPC（实验二参考组）,hpc_lpc_stage_result,artstein_hpc,robot_traj/real/4d_artstein_20260909_173424,trial_03,1.0,45.079699999999995,11.487598849627119,13.793907240752738,0.2517298387096774,0.01874949863580944,0.300662646627566,0.08537294327928716
5454,0.9921511367803447,0.0925154270606563,0.05961916024935827,0.09284777271457012,10.0,0.046765095119933826,0.06284837704134308,0.10116414271319224,0.10120918821304804,original_4d_reference,原始4D控制器（未进行Artstein时滞补偿）,artstein_original_4d_compare,original_4d,robot_traj/real/4d_20260909_185103,trial_01,1.0,45.0697,11.423211637474461,13.185611900562465,0.25047202053538686,0.014965807443427669,0.28922493582691605,0.0872627563022381
5456,1.1335647177419355,0.43460470072288243,0.4000706561583578,0.4546655690899731,10.0,0.4239711808422791,0.441967535559999,0.18737632987549963,0.20266726524328163,lpc_lambda_20_v020,Artstein-LPC（λ初值=2.0，Leader 速度=0.20 m/s）,hpc_lpc_stage_result,artstein_lpc,robot_traj/real/4d_artstein_lpc_20260915_104805,trial_01,1.0,45.08,9.257929202203083,12.320257223275405,0.20267835410557183,0.014293822323013601,0.268447892228739,0.04620835910924592
5456,1.1035938416422288,0.46567523678749473,0.41442100439882695,0.4770588120801087,10.0,0.3411247729149463,0.37177749813161926,0.24444292794495343,0.2478433951921716,lpc_lambda_25_v025,Artstein-LPC（λ初值=2.5，Leader 速度=0.25 m/s）,hpc_lpc_stage_result,artstein_lpc,robot_traj/real/4d_artstein_lpc_20260915_105440,trial_02,1.0,45.0696,11.399528688644455,16.301130732028327,0.24933013196480938,0.018274958861518947,0.35533717008797655,0.064911765741872
