time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.2908,0.1177,1.7556,-0.2810,-0.1577,0.3223,0.0410,-0.0047,-2.0235,1.8787,0.3852,-0.0752,0.3925,-0.1928,0.0082,2.1448
0.3001,0.1126,1.7529,-0.2808,-0.1570,0.3218,0.0387,-0.0002,-2.0198,1.8780,0.3855,-0.0754,0.3928,-0.1911,-0.0040,2.1361
0.3003,0.1126,1.7529,-0.2808,-0.1570,0.3218,0.0387,-0.0002,-2.0164,1.8773,0.3867,-0.0756,0.3940,-0.1885,-0.0027,2.1326
0.3202,0.1102,1.7515,-0.2813,-0.1569,0.3221,0.0372,-0.0006,-2.0127,1.8765,0.3879,-0.0759,0.3952,-0.1872,0.0001,2.1266
0.3204,0.1080,1.7504,-0.2813,-0.1569,0.3221,0.0365,-0.0006,-2.0096,1.8759,0.3879,-0.0759,0.3952,-0.1859,0.0001,2.1213
0.3304,0.1058,1.7492,-0.2820,-0.1568,0.3226,0.0359,-0.0010,-2.0060,1.8751,0.3910,-0.0770,0.3986,-0.1841,0.0019,2.1155
0.3309,0.1034,1.7479,-0.2820,-0.1568,0.3226,0.0348,-0.0010,-2.0026,1.8743,0.3916,-0.0769,0.3991,-0.1816,0.0014,2.1098
0.3503,0.1013,1.7468,-0.2816,-0.1560,0.3219,0.0339,-0.0015,-1.9992,1.8737,0.3931,-0.0776,0.4007,-0.1796,0.0022,2.1043
0.3601,0.0988,1.7455,-0.2809,-0.1553,0.3210,0.0328,-0.0032,-1.9957,1.8729,0.3934,-0.0775,0.4010,-0.1763,0.0026,2.0984
0.3604,0.0969,1.7446,-0.2809,-0.1553,0.3210,0.0321,-0.0032,-1.9926,1.8723,0.3934,-0.0775,0.4010,-0.1757,0.0026,2.0934
0.3702,0.0919,1.7419,-0.2805,-0.1547,0.3203,0.0306,-0.0062,-1.9892,1.8715,0.3942,-0.0775,0.4017,-0.1746,-0.0015,2.0851
0.3704,0.0919,1.7419,-0.2805,-0.1547,0.3203,0.0306,-0.0062,-1.9856,1.8706,0.3945,-0.0775,0.4020,-0.1727,0.0043,2.0815
0.3902,0.0899,1.7409,-0.2816,-0.1549,0.3214,0.0297,-0.0161,-1.9828,1.8700,0.3963,-0.0784,0.4040,-0.1709,0.0077,2.0767
0.3908,0.0877,1.7394,-0.2816,-0.1549,0.3214,0.0288,-0.0161,-1.9794,1.8694,0.3963,-0.0784,0.4040,-0.1687,0.0077,2.0712
0.4104,0.0854,1.7380,-0.2803,-0.1545,0.3200,0.0280,-0.0184,-1.9760,1.8688,0.3956,-0.0782,0.4033,-0.1666,0.0151,2.0656
0.4107,0.0829,1.7363,-0.2801,-0.1549,0.3201,0.0269,-0.0178,-1.9724,1.8680,0.3967,-0.0780,0.4042,-0.1649,0.0144,2.0595
0.4305,0.0806,1.7348,-0.2802,-0.1553,0.3203,0.0256,-0.0129,-1.9689,1.8672,0.3973,-0.0778,0.4048,-0.1630,0.0115,2.0538
0.4311,0.0785,1.7335,-0.2802,-0.1553,0.3203,0.0246,-0.0129,-1.9656,1.8663,0.3987,-0.0782,0.4063,-0.1613,0.0099,2.0484
0.4403,0.0762,1.7321,-0.2798,-0.1558,0.3202,0.0240,-0.0023,-1.9621,1.8656,0.3988,-0.0785,0.4065,-0.1591,0.0056,2.0426
0.4407,0.0742,1.7310,-0.2798,-0.1558,0.3202,0.0230,-0.0023,-1.9591,1.8650,0.3988,-0.0785,0.4065,-0.1561,0.0056,2.0377
0.4601,0.0719,1.7298,-0.2787,-0.1551,0.3190,0.0222,0.0027,-1.9555,1.8643,0.3987,-0.0784,0.4064,-0.1548,0.0065,2.0319
