time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
0.0005,0.2684,1.8334,-0.1809,-0.1051,0.2092,0.1400,-0.0063,-2.1208,1.9126,0.3717,-0.0309,0.3730,-0.1144,0.0153,2.3906
0.0194,0.2665,1.8325,-0.1837,-0.1063,0.2122,0.1391,-0.0083,-2.1179,1.9124,0.3741,-0.0309,0.3754,-0.1143,0.0149,2.3858
0.0197,0.2642,1.8312,-0.1837,-0.1063,0.2122,0.1386,-0.0083,-2.1144,1.9121,0.3741,-0.0309,0.3754,-0.1134,0.0149,2.3800
0.0395,0.2622,1.8300,-0.1887,-0.1082,0.2175,0.1384,-0.0176,-2.1112,1.9117,0.3756,-0.0316,0.3769,-0.1126,0.0134,2.3748
0.0399,0.2599,1.8285,-0.1887,-0.1082,0.2175,0.1382,-0.0176,-2.1077,1.9114,0.3756,-0.0316,0.3769,-0.1118,0.0134,2.3690
0.0491,0.2580,1.8271,-0.1934,-0.1110,0.2230,0.1382,-0.0231,-2.1043,1.9111,0.3775,-0.0325,0.3789,-0.1108,0.0132,2.3638
0.0594,0.2538,1.8243,-0.1950,-0.1128,0.2253,0.1379,-0.0246,-2.1009,1.9107,0.3783,-0.0327,0.3797,-0.1097,0.0078,2.3563
0.0598,0.2538,1.8243,-0.1950,-0.1128,0.2253,0.1379,-0.0246,-2.0978,1.9105,0.3793,-0.0333,0.3808,-0.1091,0.0058,2.3532
0.0793,0.2514,1.8228,-0.1988,-0.1180,0.2312,0.1372,-0.0245,-2.0943,1.9101,0.3800,-0.0336,0.3815,-0.1079,0.0018,2.3474
0.0798,0.2493,1.8216,-0.1988,-0.1180,0.2312,0.1361,-0.0245,-2.0911,1.9098,0.3800,-0.0336,0.3815,-0.1063,0.0018,2.3421
0.0892,0.2473,1.8205,-0.2033,-0.1232,0.2378,0.1348,-0.0114,-2.0880,1.9096,0.3814,-0.0343,0.3829,-0.1058,0.0083,2.3371
0.0897,0.2447,1.8190,-0.2033,-0.1232,0.2378,0.1336,-0.0114,-2.0844,1.9093,0.3814,-0.0344,0.3830,-0.1041,0.0122,2.3309
0.1095,0.2424,1.8177,-0.2078,-0.1273,0.2437,0.1327,0.0063,-2.0810,1.9090,0.3823,-0.0345,0.3838,-0.1029,0.0158,2.3252
0.1099,0.2406,1.8166,-0.2102,-0.1289,0.2465,0.1323,0.0069,-2.0782,1.9088,0.3831,-0.0345,0.3846,-0.1015,0.0190,2.3207
0.1193,0.2382,1.8151,-0.2113,-0.1290,0.2476,0.1317,0.0045,-2.0747,1.9086,0.3826,-0.0343,0.3841,-0.1001,0.0201,2.3148
0.1389,0.2357,1.8133,-0.2138,-0.1299,0.2502,0.1308,0.0028,-2.0712,1.9084,0.3833,-0.0342,0.3848,-0.0973,0.0196,2.3088
0.1392,0.2337,1.8120,-0.2138,-0.1299,0.2502,0.1300,0.0028,-2.0682,1.9083,0.3833,-0.0342,0.3848,-0.0966,0.0196,2.3039
0.1491,0.2313,1.8105,-0.2183,-0.1325,0.2554,0.1284,-0.0058,-2.0648,1.9082,0.3846,-0.0337,0.3861,-0.0949,0.0169,2.2982
0.1494,0.2291,1.8091,-0.2183,-0.1325,0.2554,0.1268,-0.0058,-2.0616,1.9081,0.3846,-0.0337,0.3861,-0.0927,0.0169,2.2929
0.1690,0.2267,1.8076,-0.2224,-0.1359,0.2606,0.1253,-0.0050,-2.0581,1.9081,0.3856,-0.0329,0.3870,-0.0903,0.0009,2.2870
0.1693,0.2242,1.8061,-0.2224,-0.1359,0.2606,0.1233,-0.0050,-2.0548,1.9079,0.3856,-0.0329,0.3870,-0.0890,0.0009,2.2812
0.1891,0.2221,1.8049,-0.2262,-0.1398,0.2659,0.1219,-0.0045,-2.0519,1.9078,0.3868,-0.0319,0.3881,-0.0881,-0.0041,2.2763
0.1894,0.2197,1.8033,-0.2262,-0.1398,0.2659,0.1202,-0.0045,-2.0485,1.9076,0.3868,-0.0319,0.3881,-0.0872,-0.0041,2.2706
0.1991,0.2174,1.8018,-0.2297,-0.1428,0.2704,0.1191,-0.0024,-2.0452,1.9074,0.3874,-0.0317,0.3887,-0.0865,-0.0038,2.2651
0.1994,0.2150,1.8004,-0.2297,-0.1428,0.2704,0.1179,-0.0024,-2.0421,1.9073,0.3883,-0.0315,0.3895,-0.0857,-0.0039,2.2597
0.2192,0.2126,1.7988,-0.2330,-0.1443,0.2741,0.1166,-0.0028,-2.0388,1.9070,0.3874,-0.0308,0.3886,-0.0852,-0.0048,2.2539
0.2195,0.2102,1.7973,-0.2330,-0.1443,0.2741,0.1152,-0.0028,-2.0354,1.9067,0.3874,-0.0308,0.3886,-0.0835,-0.0048,2.2483
0.2392,0.2078,1.7958,-0.2373,-0.1459,0.2786,0.1136,-0.0029,-2.0322,1.9065,0.3879,-0.0303,0.3891,-0.0818,-0.0016,2.2428
0.2395,0.2056,1.7944,-0.2373,-0.1459,0.2786,0.1123,-0.0029,-2.0292,1.9063,0.3879,-0.0303,0.3891,-0.0810,-0.0016,2.2375
0.2491,0.2029,1.7928,-0.2412,-0.1483,0.2831,0.1104,-0.0048,-2.0258,1.9060,0.3884,-0.0301,0.3896,-0.0799,-0.0005,2.2316
0.2494,0.2002,1.7911,-0.2412,-0.1483,0.2831,0.1090,-0.0048,-2.0224,1.9058,0.3884,-0.0301,0.3896,-0.0796,-0.0005,2.2256
0.2690,0.1988,1.7904,-0.2459,-0.1522,0.2892,0.1084,-0.0003,-2.0206,1.9057,0.3896,-0.0301,0.3907,-0.0790,0.0040,2.2224
0.2693,0.1956,1.7886,-0.2459,-0.1522,0.2892,0.1068,-0.0003,-2.0162,1.9052,0.3896,-0.0301,0.3907,-0.0767,0.0040,2.2148
0.2790,0.1931,1.7873,-0.2486,-0.1539,0.2923,0.1058,0.0120,-2.0130,1.9048,0.3894,-0.0302,0.3906,-0.0743,0.0082,2.2093
0.2793,0.1908,1.7861,-0.2486,-0.1539,0.2923,0.1050,0.0120,-2.0097,1.9045,0.3894,-0.0302,0.3906,-0.0725,0.0082,2.2037
0.2991,0.1882,1.7847,-0.2517,-0.1543,0.2953,0.1039,0.0133,-2.0064,1.9041,0.3907,-0.0307,0.3919,-0.0716,0.0071,2.1979
0.2994,0.1860,1.7835,-0.2517,-0.1543,0.2953,0.1030,0.0133,-2.0033,1.9038,0.3907,-0.0307,0.3919,-0.0710,0.0071,2.1926
0.3190,0.1834,1.7820,-0.2554,-0.1545,0.2985,0.1020,0.0007,-2.0001,1.9035,0.3907,-0.0308,0.3919,-0.0702,0.0030,2.1869
0.3193,0.1811,1.7806,-0.2554,-0.1545,0.2985,0.1009,0.0007,-1.9970,1.9032,0.3907,-0.0308,0.3919,-0.0697,0.0030,2.1816
0.3288,0.1788,1.7791,-0.2587,-0.1558,0.3019,0.0999,0.0009,-1.9939,1.9029,0.3903,-0.0308,0.3916,-0.0690,0.0039,2.1762
0.3291,0.1762,1.7776,-0.2587,-0.1558,0.3019,0.0977,0.0009,-1.9907,1.9025,0.3903,-0.0308,0.3916,-0.0677,0.0039,2.1705
0.3493,0.1739,1.7763,-0.2613,-0.1576,0.3052,0.0963,0.0031,-1.9877,1.9023,0.3900,-0.0312,0.3912,-0.0675,0.0054,2.1652
0.3592,0.1711,1.7747,-0.2620,-0.1580,0.3059,0.0943,0.0082,-1.9845,1.9018,0.3893,-0.0312,0.3905,-0.0670,0.0074,2.1594
0.3595,0.1688,1.7735,-0.2620,-0.1580,0.3059,0.0929,0.0082,-1.9816,1.9015,0.3891,-0.0316,0.3903,-0.0663,0.0078,2.1542
0.3792,0.1662,1.7722,-0.2646,-0.1590,0.3087,0.0913,0.0140,-1.9783,1.9011,0.3884,-0.0315,0.3897,-0.0659,0.0087,2.1483
0.3794,0.1638,1.7710,-0.2646,-0.1590,0.3087,0.0899,0.0140,-1.9752,1.9008,0.3884,-0.0315,0.3897,-0.0646,0.0087,2.1430
0.3892,0.1588,1.7680,-0.2692,-0.1596,0.3129,0.0866,0.0005,-1.9716,1.9004,0.3891,-0.0319,0.3904,-0.0631,0.0097,2.1345
0.3894,0.1588,1.7680,-0.2692,-0.1596,0.3129,0.0866,0.0005,-1.9684,1.9001,0.3891,-0.0319,0.3904,-0.0619,0.0097,2.1313
0.4093,0.1563,1.7665,-0.2701,-0.1598,0.3138,0.0844,-0.0065,-1.9650,1.8997,0.3896,-0.0323,0.3909,-0.0609,0.0096,2.1255
0.4096,0.1540,1.7651,-0.2712,-0.1607,0.3152,0.0824,-0.0081,-1.9620,1.8994,0.3898,-0.0322,0.3911,-0.0600,0.0096,2.1202
0.4192,0.1516,1.7637,-0.2723,-0.1619,0.3168,0.0808,-0.0066,-1.9587,1.8990,0.3897,-0.0323,0.3911,-0.0598,0.0093,2.1146
0.4196,0.1491,1.7623,-0.2723,-0.1619,0.3168,0.0788,-0.0066,-1.9555,1.8986,0.3901,-0.0324,0.3914,-0.0589,0.0030,2.1090
0.4390,0.1468,1.7610,-0.2741,-0.1644,0.3196,0.0774,0.0113,-1.9522,1.8983,0.3898,-0.0326,0.3912,-0.0583,0.0017,2.1035
0.4393,0.1445,1.7599,-0.2741,-0.1644,0.3196,0.0764,0.0113,-1.9493,1.8980,0.3902,-0.0327,0.3916,-0.0577,0.0016,2.0984
0.4591,0.1421,1.7586,-0.2756,-0.1654,0.3214,0.0751,0.0238,-1.9459,1.8977,0.3895,-0.0329,0.3909,-0.0567,0.0039,2.0926
0.4595,0.1396,1.7572,-0.2756,-0.1654,0.3214,0.0739,0.0238,-1.9425,1.8973,0.3895,-0.0329,0.3909,-0.0556,0.0039,2.0868
0.4795,0.1348,1.7544,-0.2780,-0.1654,0.3235,0.0710,0.0129,-1.9392,1.8969,0.3900,-0.0334,0.3915,-0.0541,0.0062,2.0789
0.4798,0.1348,1.7544,-0.2780,-0.1654,0.3235,0.0710,0.0129,-1.9359,1.8966,0.3902,-0.0336,0.3916,-0.0531,0.0069,2.0756
0.4891,0.1326,1.7529,-0.2795,-0.1651,0.3247,0.0689,0.0024,-1.9327,1.8961,0.3895,-0.0335,0.3910,-0.0510,0.0068,2.0702
0.4895,0.1300,1.7514,-0.2795,-0.1651,0.3247,0.0668,0.0024,-1.9292,1.8956,0.3895,-0.0335,0.3910,-0.0502,0.0068,2.0642
0.5091,0.1275,1.7499,-0.2813,-0.1664,0.3269,0.0647,-0.0005,-1.9258,1.8951,0.3901,-0.0344,0.3916,-0.0480,0.0089,2.0585
0.5096,0.1252,1.7487,-0.2813,-0.1664,0.3269,0.0624,-0.0005,-1.9226,1.8946,0.3900,-0.0351,0.3915,-0.0464,0.0143,2.0530
0.5192,0.1227,1.7474,-0.2827,-0.1676,0.3286,0.0600,0.0087,-1.9192,1.8942,0.3907,-0.0355,0.3923,-0.0442,0.0164,2.0472
0.5197,0.1206,1.7465,-0.2827,-0.1676,0.3286,0.0586,0.0087,-1.9162,1.8939,0.3903,-0.0357,0.3920,-0.0429,0.0114,2.0421
0.5393,0.1180,1.7452,-0.2832,-0.1671,0.3288,0.0566,0.0170,-1.9126,1.8933,0.3901,-0.0358,0.3918,-0.0411,0.0022,2.0360
0.5397,0.1157,1.7439,-0.2832,-0.1671,0.3288,0.0552,0.0170,-1.9094,1.8928,0.3901,-0.0358,0.3918,-0.0389,0.0022,2.0306
0.5594,0.1132,1.7425,-0.2845,-0.1664,0.3296,0.0538,0.0117,-1.9060,1.8922,0.3898,-0.0366,0.3915,-0.0362,0.0032,2.0247
0.5597,0.1110,1.7413,-0.2849,-0.1661,0.3298,0.0524,0.0105,-1.9031,1.8919,0.3898,-0.0366,0.3915,-0.0340,0.0032,2.0197
