case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only,3.176311,0.502822,0.085304,0.435900
matlab_leader_artstein_td_only,3.177343,0.309929,0.138377,0.369351
matlab_leader_artstein_prediction,3.176184,0.285211,0.097963,0.203271
circle_original_delay_clean,1.531007,0.085434,0.001090,0.085520
circle_forward_prediction_only_clean,1.531007,0.125330,0.000000,0.125330
circle_artstein_td_only_clean,1.530926,0.070619,0.000011,0.070619
circle_artstein_prediction_clean,1.530864,0.050041,0.000000,0.050041
circle_original_delay_noise,1.530890,0.100348,0.017042,0.098201
circle_forward_prediction_only_noise,1.531004,0.127838,0.006784,0.127241
circle_artstein_td_only_noise,1.530884,0.074661,0.006457,0.074328
circle_artstein_prediction_noise,1.530864,0.052218,0.005720,0.048493
