case,max_position_error,tail_mean_position_error,final_position_error,max_yaw_error,tail_mean_yaw_error,final_yaw_error,post_step_peak_position_error,post_step_peak_yaw_error
ideal,2.841694,0.066833,0.066833,0.495637,0.000000,0.000000,0.066844,0.000000
delayed,2.946956,2.201752,2.204381,0.500000,0.000030,0.000003,2.247798,0.001157
artstein,2.884903,0.364840,0.364832,0.500000,0.000000,0.000000,0.365580,0.000000
artstein_linear,2.970114,1.803277,1.805230,0.500000,0.000001,0.000000,1.848850,0.000191
