case,max_distance,tail_mean_distance,tail_std_distance,final_distance
ideal_4d_hpc_matlab,3.222052,0.051755,0.000140,0.051863
matlab_leader_original_delay,3.178044,0.680348,0.138299,0.533177
matlab_leader_forward_prediction_only,3.176311,0.502822,0.085304,0.435900
matlab_leader_artstein_td_only,3.177343,0.309929,0.138377,0.369351
matlab_leader_artstein_prediction,3.176184,0.285211,0.097963,0.203271
circle_original_delay_clean,1.542107,0.570791,0.032275,0.601322
circle_forward_prediction_only_clean,1.542107,0.150921,0.000000,0.150921
circle_artstein_td_only_clean,1.541998,0.094520,0.000020,0.094517
circle_artstein_prediction_clean,1.541857,0.066774,0.000000,0.066774
circle_original_delay_noise,1.541972,0.553821,0.044285,0.517166
circle_forward_prediction_only_noise,1.542104,0.151498,0.004715,0.150649
circle_artstein_td_only_noise,1.541949,0.105425,0.013180,0.102857
circle_artstein_prediction_noise,1.541857,0.066879,0.005932,0.063213
