time,e_x,e_y,e_theta,e_vx,e_vy,e_omega,V,nu_x,nu_y,nu_omega
0.0,1.0,-0.7,0.3,0.0,0.0,0.0,4.140257701907776,-0.7482205969770014,0.5237544178839019,-0.22446617909310043
0.001,0.9999996259816338,-0.6999997381871437,0.29999988779449016,-0.0007479447973168722,0.0005235613581218113,-0.0002243834391950616,4.138223189587041,-0.7476689871884432,0.5233682910319111,-0.22430069615653295
0.002,0.9999985042942857,-0.699998953006,0.2999995512882857,-0.0014953379534565505,0.0010467365674195867,-0.00044860138603696506,4.136189177266305,-0.7471173146388789,0.5229821202472162,-0.22413519439166366
0.003,0.9999966354896282,-0.6999976448427397,0.29999899064688845,-0.002242179405706839,0.0015695255839947898,-0.0006726538217120518,4.1341556649455695,-0.7465655794259451,0.5225959055981625,-0.22396967382778354
0.004,0.9999940201193965,-0.6999958140835776,0.29999820603581895,-0.002988469091453225,0.0020919283640172606,-0.0008965407274359675,4.132122652624835,-0.7460137816473675,0.5222096471531581,-0.22380413449421027
0.005,0.9999906587353884,-0.6999934611147719,0.2999971976206165,-0.0037342069481789636,0.002613944863725279,-0.0011202620844536892,4.130090140304099,-0.745461921400961,0.5218233449806736,-0.22363857642028828
0.006,0.9999865518894641,-0.6999905863226248,0.29999596556683916,-0.00447939291346517,0.003135575039425624,-0.0013438178740395512,4.128058127983366,-0.7449099987846272,0.5214369991492399,-0.2234729996353881
0.007,0.999981700133546,-0.6999871900934822,0.2999945100400638,-0.0052240269249909065,0.0036568188474936396,-0.001567208077497272,4.1260266156626315,-0.7443580138963591,0.5210506097274523,-0.2233074041689077
0.008,0.9999761040196193,-0.6999832728137335,0.29999283120588577,-0.00596810892053327,0.004177676244373295,-0.0017904326761599809,4.123995603341896,-0.7438059668342376,0.5206641767839671,-0.22314179005027127
0.009000000000000001,0.999969764099731,-0.6999788348698117,0.29999092922991927,-0.006711638837967486,0.004698147186577247,-0.0020134916513902456,4.121965091021163,-0.7432538576964319,0.5202777003875032,-0.22297615730892953
0.010000000000000002,0.9999626809259902,-0.6999738766481931,0.299988804277797,-0.007454616615266993,0.005218231630686902,-0.0022363849845800977,4.119935078700431,-0.7427016865812014,0.5198911806068419,-0.22281050597436033
0.011000000000000003,0.9999548550505679,-0.6999683985353975,0.2999864565151703,-0.008197042190503531,0.0057379295333524795,-0.002459112657151059,4.117905566379698,-0.7421494535868942,0.5195046175108268,-0.22264483607606822
0.012000000000000004,0.9999462870256972,-0.699962400917988,0.2999838861077091,-0.008938915501847236,0.006257240851293073,-0.0026816746505541706,4.115876554058966,-0.7415971588119478,0.5191180111683642,-0.22247914764358426
0.013000000000000005,0.9999369774036728,-0.6999558841825709,0.2999810932211018,-0.009680236487566723,0.006776165541296715,-0.0029040709462700167,4.113848041738233,-0.7410448023548882,0.5187313616484227,-0.22231344070646644
0.014000000000000005,0.9999269267368512,-0.6999488487157958,0.2999780780210553,-0.01042100508602918,0.007294703560220436,-0.003126301525808754,4.111820029417503,-0.7404923843143313,0.5183446690200326,-0.22214771529429933
0.015000000000000006,0.9999161355776505,-0.6999412949043552,0.29997484067329505,-0.011161221235700456,0.007812854864990329,-0.0033483663707101364,4.109792517096771,-0.739939904788983,0.5179579333522889,-0.22198197143669485
0.016000000000000007,0.99990460447855,-0.6999332231349848,0.2999713813435649,-0.011900884875145148,0.008330619412601614,-0.003570265462543544,4.107765504776039,-0.7393873638776378,0.5175711547143472,-0.22181620916329126
0.017000000000000008,0.9998923339920908,-0.6999246337944633,0.2999677001976271,-0.012639995943026694,0.008847997160118696,-0.0037919987829080075,4.10573899245531,-0.7388347616791794,0.5171843331754264,-0.22165042850375374
0.01800000000000001,0.9998793246708749,-0.6999155272696123,0.29996379740126233,-0.013378554378107461,0.009364988064675233,-0.004013566313432237,4.10371298013458,-0.7382820982925823,0.5167974688048083,-0.22148462948777453
0.01900000000000001,0.9998655770675658,-0.6999059039472959,0.2999596731202696,-0.014116560119248833,0.009881592083474194,-0.004234968035774649,4.10168746781385,-0.73772937381691,0.5164105616718376,-0.22131881214507285
0.02000000000000001,0.9998510917348881,-0.6998957642144215,0.2999553275204663,-0.014854013105411306,0.010397809173787926,-0.004456203931623391,4.099662455493123,-0.737176588351315,0.5160236118459213,-0.22115297650539442
0.02100000000000001,0.999835869225627,-0.6998851084579387,0.29995076076768795,-0.01559091327565457,0.010913639292958213,-0.0046772739826963705,4.097637943172394,-0.7366237419950415,0.5156366193965298,-0.22098712259851236
0.022000000000000013,0.9998199100926289,-0.6998739370648401,0.2999459730277886,-0.016327260569137608,0.011429082398396339,-0.004898178170741281,4.095613930851666,-0.736070834847422,0.5152495843931961,-0.22082125045422651
0.023000000000000013,0.9998032148888012,-0.6998622504221607,0.29994096446664026,-0.017063054925118774,0.011944138447583156,-0.005118916477535631,4.0935904185309395,-0.7355178670078788,0.5148625069055158,-0.2206553601023636
0.024000000000000014,0.9997857841671115,-0.6998500489169779,0.29993573525013334,-0.017798296282955896,0.012458807398069142,-0.005339488884886768,4.091567406210212,-0.7349648385759256,0.5144753870031488,-0.22048945157277766
0.025000000000000015,0.9997676184805883,-0.6998373329364116,0.29993028554417633,-0.01853298458210636,0.012973089207474465,-0.005559895374631906,4.089544893889488,-0.7344117496511644,0.5140882247558157,-0.2203235248953492
0.026000000000000016,0.9997487183823204,-0.6998241028676241,0.29992461551469596,-0.01926711976212719,0.013486983833489046,-0.005780135928638155,4.087522881568762,-0.7338586003332891,0.5137010202333032,-0.22015758009998665
0.027000000000000017,0.9997290844254572,-0.6998103590978199,0.29991872532763697,-0.020000701762675162,0.014000491233872626,-0.006000210528802546,4.085501369248037,-0.7333053907220822,0.5133137735054583,-0.2199916172166245
0.028000000000000018,0.9997087171632083,-0.6997961020142456,0.2999126151489623,-0.02073373052350687,0.014513611366454824,-0.0062201191570520585,4.083480356927313,-0.7327521209174178,0.5129264846421931,-0.21982563627522517
0.02900000000000002,0.9996876171488435,-0.6997813320041902,0.29990628514465284,-0.02146620598447883,0.0150263441891352,-0.0064398617953436476,4.081459844606591,-0.7321987910192591,0.512539153713482,-0.21965963730577762
0.03000000000000002,0.9996657849356926,-0.6997660494549847,0.2998997354807076,-0.022198128085547573,0.01553868965988332,-0.0066594384256642705,4.079439832285868,-0.7316454011276607,0.5121517807893632,-0.21949362033829808
0.03100000000000002,0.9996432210771456,-0.6997502547540018,0.2998929663231435,-0.022929496766769794,0.016050647736738876,-0.006878849030030937,4.07742031996469,-0.7310919513428503,0.5117643659399961,-0.219327585402855
0.03200000000000002,0.9996199261266523,-0.6997339482886564,0.2998859778379955,-0.023660311968302247,0.016562218377811595,-0.007098093590490673,4.075401307643949,-0.7305384417649005,0.511376909235431,-0.21916153252947
0.03300000000000002,0.9995959006377222,-0.6997171304464054,0.2998787701913164,-0.024390573630402018,0.017073401541281435,-0.0073171720891206035,4.073382795323208,-0.7299848724942165,0.510989410745952,-0.21899546174826473
