case,max_distance,tail_mean_distance,tail_std_distance,final_distance
circle_original_delay_noise_20hz_full_discrete,1.610287,0.594400,0.059597,0.665172
circle_artstein_prediction_noise_20hz_full_discrete,1.586662,0.140306,0.005583,0.134811
